embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,mse_mean,mse_sd,check
CBOW_GoogleNews,text,Freq_HAL,28012,7003,300,0.5221060347760276,0.00839029905657116,2.71551933875715,0.07244867235923806,pass
CBOW_GoogleNews,text,Freq_KF,19285,4822,300,0.5003845479939553,0.009732974254593851,0.1566783356957722,0.0047653702138556525,pass
CBOW_GoogleNews,text,Freq_SUBTLEXUS,28636,7159,300,0.537245914609181,0.009833522054502764,0.36135955076494125,0.00779984212506702,pass
CBOW_GoogleNews,text,Freq_SUBTLEXUK,29316,7330,300,0.5456263013784881,0.008433406690795899,0.44605863347986363,0.009070750563731828,pass
CBOW_GoogleNews,text,Freq_Blog,31876,7969,300,0.5236876977992393,0.008466809006209202,0.400176350963722,0.009335634343534864,pass
CBOW_GoogleNews,text,Freq_Twitter,31876,7969,300,0.5686077488957139,0.00963856569987727,0.41114213944460404,0.007727360504382963,pass
CBOW_GoogleNews,text,Freq_News,31876,7969,300,0.5805119004714392,0.005512326295101355,0.40641250789435635,0.006552145241884062,pass
CBOW_GoogleNews,text,Freq_CobW,26504,6626,300,0.4386474004468,0.006450202815524699,0.1464122395498701,0.002726594648553782,pass
CBOW_GoogleNews,text,Freq_CobS,26504,6626,300,0.3996487404985313,0.011356360967832628,0.13830532433734613,0.003148859108199466,pass
CBOW_GoogleNews,text,CD_SUBTLEXUS,28636,7159,300,0.5498941233522434,0.00914899320409978,0.29365259498774143,0.005485286010010004,pass
CBOW_GoogleNews,text,CD_SUBTLEXUK,29316,7330,300,0.5570760956741407,0.0069273424751943,0.37341239378338786,0.006551618258910612,pass
CBOW_GoogleNews,text,CD_Blog,31876,7969,300,0.5282359602677481,0.008387956123343655,0.3867179255612735,0.008947939636077097,pass
CBOW_GoogleNews,text,CD_Twitter,31876,7969,300,0.5692904521008721,0.009651836304740214,0.4076402999834685,0.0075531256722134454,pass
CBOW_GoogleNews,text,CD_News,31876,7969,300,0.582741764047902,0.0055732977959981845,0.39854655633647773,0.006264764779876993,pass
CBOW_GoogleNews,text,Fam_Glasgow,3672,919,300,0.49551253697208253,0.01458884768120583,0.40758491508599876,0.018479208772345282,pass
CBOW_GoogleNews,text,Fam_Brys,27078,6770,300,0.2042128780857296,0.0021531309088035967,0.0014885659468832993,2.658934546069568e-05,pass
CBOW_GoogleNews,text,Prevalence_Brys,29045,7262,300,0.3712448291209343,0.008540308937716578,0.20370930233187384,0.0036973618169045034,pass
CBOW_GoogleNews,text,AoA_Kuper,20218,5055,300,0.5262395071159184,0.007838320320135896,3.7619342732398144,0.07337785334936621,pass
CBOW_GoogleNews,text,AoA_LWV,14160,3541,300,0.5805724426951261,0.013884245010131082,3.322277840510023,0.09114060272003778,pass
CBOW_GoogleNews,text,AoA_Glasgow,3672,919,300,0.6186563759637177,0.005926949257563369,0.5689737884391712,0.018876761889672952,pass
CBOW_GoogleNews,text,Freqtraj_TASA,12315,3079,300,0.6774209817320731,0.00879634914503498,0.3219794839149338,0.014145611674507352,pass
CBOW_GoogleNews,text,DPoS_Brys,28580,7145,300,0.677009518385817,0.00947325089128778,0.01751671015499174,0.00043997831153106944,pass
CBOW_GoogleNews,text,DPoS_VanH,29268,7317,300,0.6370090246870947,0.0049486799685298415,0.02914867231690803,0.0004999294363524574,pass
CBOW_GoogleNews,text,Conc_Brys,27078,6770,300,0.7145847113919181,0.005558119069668756,0.29458259832779776,0.005027165430579923,pass
CBOW_GoogleNews,text,Conc_Glasgow,3672,919,300,0.7812503230190799,0.009689359796557814,0.4420410105114332,0.016143835342819265,pass
CBOW_GoogleNews,text,Imag_Glasgow,3672,919,300,0.7103633258384672,0.017345241329250045,0.5264237554225111,0.027636771182678398,pass
CBOW_GoogleNews,text,Nsenses_WordNet,23669,5918,300,0.374997649680663,0.010511687831076982,0.2446403789939343,0.0032052694398790214,pass
CBOW_GoogleNews,text,Nsenses_Wordsmyth,424,107,300,0.22572978780329483,0.05363131149319722,0.187527017902693,0.022495831201281024,pass
CBOW_GoogleNews,text,Nmeanings_Wordsmyth,424,107,300,-0.09683363556132626,0.03792051215000847,0.017928822149816528,0.00667564498758509,pass
CBOW_GoogleNews,text,Nmeanings_Websters,19527,4882,300,0.21939257912476337,0.004458480261871127,0.13528437178882402,0.0026366279650007034,pass
