embed,norm,train_n,fold,r2,mse,check
CBOW_GoogleNews,Freq_HAL,8668,1,0.6606505018554152,1.0655440949847275,pass
CBOW_GoogleNews,Freq_HAL,8668,2,0.6598735384477115,1.0478496159324204,pass
CBOW_GoogleNews,Freq_HAL,8668,3,0.6784978582786474,1.1355808897085644,pass
CBOW_GoogleNews,Freq_HAL,8668,4,0.657753585339789,1.111462776235252,pass
CBOW_GoogleNews,Freq_HAL,8668,5,0.6871000507908257,1.1714320978060988,pass
morphoNLM,Freq_HAL,8668,1,0.44784979037512873,1.7337299705087235,pass
morphoNLM,Freq_HAL,8668,2,0.5431778526331311,1.4073615721727906,pass
morphoNLM,Freq_HAL,8668,3,0.5172630386741993,1.7050799882778935,pass
morphoNLM,Freq_HAL,8668,4,0.540243587835964,1.4930825170604962,pass
morphoNLM,Freq_HAL,8668,5,0.45326266723404607,2.046870452646765,pass
CBOW_GoogleNews&morphoNLM,Freq_HAL,8668,1,0.7086813573847619,0.9147290952096153,pass
CBOW_GoogleNews&morphoNLM,Freq_HAL,8668,2,0.7377894992871894,0.8078088697110297,pass
CBOW_GoogleNews&morphoNLM,Freq_HAL,8668,3,0.7539849543227917,0.8689521723122723,pass
CBOW_GoogleNews&morphoNLM,Freq_HAL,8668,4,0.7329778535559912,0.8671681089708659,pass
CBOW_GoogleNews&morphoNLM,Freq_HAL,8668,5,0.7382276358274573,0.9800210913594891,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_HAL,8668,1,0.7174047036814206,0.88733813047935,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_HAL,8668,2,0.7102573334717789,0.8926289958599928,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_HAL,8668,3,0.7385227071765902,0.9235665281519149,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_HAL,8668,4,0.7062189434738496,0.9540690412084017,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_HAL,8668,5,0.7415401789446916,0.9676196213602055,pass
morphoNLM&PPMI_SVD_SWOW,Freq_HAL,8668,1,0.6648220228997131,1.052445682757336,pass
morphoNLM&PPMI_SVD_SWOW,Freq_HAL,8668,2,0.696732890330814,0.9342946236570271,pass
morphoNLM&PPMI_SVD_SWOW,Freq_HAL,8668,3,0.7128950041534188,1.0140863910816709,pass
morphoNLM&PPMI_SVD_SWOW,Freq_HAL,8668,4,0.6848500732812031,1.0234655425944275,pass
morphoNLM&PPMI_SVD_SWOW,Freq_HAL,8668,5,0.7084282065406523,1.0915839345337794,pass
CBOW_GoogleNews,Freq_KF,7558,1,0.596941377496905,0.14945533824960577,pass
CBOW_GoogleNews,Freq_KF,7558,2,0.6091926543643535,0.14125874921505466,pass
CBOW_GoogleNews,Freq_KF,7558,3,0.620663670812406,0.16587024410069492,pass
CBOW_GoogleNews,Freq_KF,7558,4,0.6032577526116765,0.14577801932377446,pass
CBOW_GoogleNews,Freq_KF,7558,5,0.6245283261757573,0.1676134484800867,pass
morphoNLM,Freq_KF,7558,1,0.3517541527290793,0.2403714917971611,pass
morphoNLM,Freq_KF,7558,2,0.47160591949491615,0.19098997943189863,pass
morphoNLM,Freq_KF,7558,3,0.44407134785420554,0.24308776707856905,pass
morphoNLM,Freq_KF,7558,4,0.4449846496989499,0.20393350845236752,pass
morphoNLM,Freq_KF,7558,5,0.3638836371739771,0.2839672461091939,pass
CBOW_GoogleNews&morphoNLM,Freq_KF,7558,1,0.6391821350086939,0.13379233949612915,pass
CBOW_GoogleNews&morphoNLM,Freq_KF,7558,2,0.6743097378509588,0.1177219404304371,pass
CBOW_GoogleNews&morphoNLM,Freq_KF,7558,3,0.6783594499629457,0.14064193814915207,pass
CBOW_GoogleNews&morphoNLM,Freq_KF,7558,4,0.6545931989736616,0.12691544610144942,pass
CBOW_GoogleNews&morphoNLM,Freq_KF,7558,5,0.6603215103393931,0.1516350952566737,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_KF,7558,1,0.6538023780267915,0.12837110981993127,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_KF,7558,2,0.6461039075353812,0.12791704130416834,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_KF,7558,3,0.6803054134542166,0.1397910377357922,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_KF,7558,4,0.6492490716231436,0.12887907943089924,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_KF,7558,5,0.6922195377492196,0.1373955700232042,pass
morphoNLM&PPMI_SVD_SWOW,Freq_KF,7558,1,0.5896571499421794,0.1521563515322834,pass
morphoNLM&PPMI_SVD_SWOW,Freq_KF,7558,2,0.6292000265070283,0.13402701113357732,pass
morphoNLM&PPMI_SVD_SWOW,Freq_KF,7558,3,0.6587046359718622,0.14923628713079815,pass
morphoNLM&PPMI_SVD_SWOW,Freq_KF,7558,4,0.6032638891667546,0.1457757645227024,pass
morphoNLM&PPMI_SVD_SWOW,Freq_KF,7558,5,0.6510500500997476,0.1557739465510604,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,8931,1,0.6618907852631278,0.21094347791519744,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,8931,2,0.66702160010479,0.20694216834313744,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,8931,3,0.6908628080869144,0.22882144726303183,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,8931,4,0.6530075032048166,0.20340323690133003,pass
CBOW_GoogleNews,Freq_SUBTLEXUS,8931,5,0.6950062683027907,0.22068860293979276,pass
morphoNLM,Freq_SUBTLEXUS,8931,1,0.41668377184911864,0.3639260585851847,pass
morphoNLM,Freq_SUBTLEXUS,8931,2,0.47668287358309,0.3252354534285002,pass
morphoNLM,Freq_SUBTLEXUS,8931,3,0.48220185518741043,0.38327100066122555,pass
morphoNLM,Freq_SUBTLEXUS,8931,4,0.4372721578821802,0.3298649556933417,pass
morphoNLM,Freq_SUBTLEXUS,8931,5,0.39271094610221846,0.43942467977795563,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUS,8931,1,0.7154571349682082,0.1775238856251589,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUS,8931,2,0.7411598010598113,0.1608661463924052,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUS,8931,3,0.7589824415476306,0.17839971373091537,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUS,8931,4,0.7238525884293672,0.161874616581537,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUS,8931,5,0.7387131950762584,0.18906296737425807,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,1,0.7273435426340342,0.17010805646800767,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,2,0.7178421200647913,0.17535781151951726,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,3,0.7557049419353814,0.18082569877670612,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,4,0.7041670536191684,0.17341406350765223,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,5,0.7498204594719955,0.18102592789696262,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,1,0.651051751178301,0.2177058595582831,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,2,0.6623324642147922,0.2098564112761239,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,3,0.6925377484776085,0.22758166669212687,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,4,0.6238396369763806,0.22050112362558053,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUS,8931,5,0.6783781024797346,0.2327204786918643,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,8916,1,0.6399652666472065,0.2436471026698011,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,8916,2,0.6535105333439796,0.2233878822797622,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,8916,3,0.6740814230334056,0.2524168820870877,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,8916,4,0.6375718166994393,0.24021804206843816,pass
CBOW_GoogleNews,Freq_SUBTLEXUK,8916,5,0.6935797909527466,0.23718996731483855,pass
morphoNLM,Freq_SUBTLEXUK,8916,1,0.38404323345209335,0.41683778712594066,pass
morphoNLM,Freq_SUBTLEXUK,8916,2,0.4708589108134401,0.3411466111261034,pass
morphoNLM,Freq_SUBTLEXUK,8916,3,0.44401160320032695,0.43060097679291365,pass
morphoNLM,Freq_SUBTLEXUK,8916,4,0.43702405356963725,0.37314145481610084,pass
morphoNLM,Freq_SUBTLEXUK,8916,5,0.3529982151024169,0.5008231431264193,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUK,8916,1,0.6874940248774088,0.21148286082445972,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUK,8916,2,0.7194231736794101,0.18089283825403177,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUK,8916,3,0.7391472661511765,0.20202479519527874,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUK,8916,4,0.7069868629497325,0.19420962641907577,pass
CBOW_GoogleNews&morphoNLM,Freq_SUBTLEXUK,8916,5,0.7241112538428301,0.21355654996456067,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,1,0.6900854269088512,0.20972917558711104,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,2,0.6873734027904757,0.20155589192642032,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,3,0.726770336362502,0.21161045936988712,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,4,0.6867239798253775,0.20763990125716014,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,5,0.7314554715081798,0.20787162874668919,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,1,0.5958829621114228,0.27347901827175236,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,2,0.620181722966674,0.24487555531335947,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,3,0.6602336831736417,0.26314165682035767,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,4,0.5850997702690947,0.27499660741628945,pass
morphoNLM&PPMI_SVD_SWOW,Freq_SUBTLEXUK,8916,5,0.6231118367499172,0.29173693014761665,pass
CBOW_GoogleNews,Freq_Blog,8944,1,0.6694046992087228,0.17049043056049382,pass
CBOW_GoogleNews,Freq_Blog,8944,2,0.6763229090790747,0.1621330416431567,pass
CBOW_GoogleNews,Freq_Blog,8944,3,0.7046305495573657,0.1782841801136755,pass
CBOW_GoogleNews,Freq_Blog,8944,4,0.6694919703023718,0.16845891009923925,pass
CBOW_GoogleNews,Freq_Blog,8944,5,0.7133391706408381,0.17608127246051816,pass
morphoNLM,Freq_Blog,8944,1,0.40778234091486054,0.3054110068754408,pass
morphoNLM,Freq_Blog,8944,2,0.5118290918812021,0.24452961422079383,pass
morphoNLM,Freq_Blog,8944,3,0.493504944161851,0.30571900928282514,pass
morphoNLM,Freq_Blog,8944,4,0.48996428989682994,0.2599636078865534,pass
morphoNLM,Freq_Blog,8944,5,0.41497418678268605,0.35935181602537186,pass
CBOW_GoogleNews&morphoNLM,Freq_Blog,8944,1,0.722652972988818,0.14302990374222815,pass
CBOW_GoogleNews&morphoNLM,Freq_Blog,8944,2,0.755319155212383,0.12256304418815073,pass
CBOW_GoogleNews&morphoNLM,Freq_Blog,8944,3,0.7742430219070006,0.1362662851013714,pass
CBOW_GoogleNews&morphoNLM,Freq_Blog,8944,4,0.7453604247230681,0.12978899592403154,pass
CBOW_GoogleNews&morphoNLM,Freq_Blog,8944,5,0.7568181607605444,0.14937432431315176,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,8944,1,0.734660903737058,0.13683732544934865,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,8944,2,0.7271547822725912,0.1366708558893385,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,8944,3,0.7669475961847502,0.14066978380959086,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,8944,4,0.7302421740091847,0.13749472107751065,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Blog,8944,5,0.7721110925566647,0.13998064853145323,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Blog,8944,1,0.6655053049398858,0.17250137689345116,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Blog,8944,2,0.6950202830514358,0.15276734293320657,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Blog,8944,3,0.7237395594581026,0.16675003479894648,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Blog,8944,4,0.6756715490469314,0.16530919812058228,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Blog,8944,5,0.7155027730473147,0.17475228075389854,pass
CBOW_GoogleNews,Freq_Twitter,8944,1,0.6844153834361499,0.2154210075843989,pass
CBOW_GoogleNews,Freq_Twitter,8944,2,0.6900230951326582,0.21516755432005938,pass
CBOW_GoogleNews,Freq_Twitter,8944,3,0.702696874425217,0.23670246696003241,pass
CBOW_GoogleNews,Freq_Twitter,8944,4,0.6865679386482618,0.20543938630694594,pass
CBOW_GoogleNews,Freq_Twitter,8944,5,0.722209338475329,0.22665567280801524,pass
morphoNLM,Freq_Twitter,8944,1,0.38748437740644526,0.4181088863486876,pass
morphoNLM,Freq_Twitter,8944,2,0.47235930759425626,0.3662568261118472,pass
morphoNLM,Freq_Twitter,8944,3,0.46174924287554997,0.4285366385171599,pass
morphoNLM,Freq_Twitter,8944,4,0.45086590894847534,0.35993053862874125,pass
morphoNLM,Freq_Twitter,8944,5,0.39716714234459494,0.49186493956539834,pass
CBOW_GoogleNews&morphoNLM,Freq_Twitter,8944,1,0.726089564670644,0.18697382213683691,pass
CBOW_GoogleNews&morphoNLM,Freq_Twitter,8944,2,0.7553779622238717,0.1698020877510354,pass
CBOW_GoogleNews&morphoNLM,Freq_Twitter,8944,3,0.7650309355965468,0.18707424315187077,pass
CBOW_GoogleNews&morphoNLM,Freq_Twitter,8944,4,0.7505483169084395,0.16350337762688097,pass
CBOW_GoogleNews&morphoNLM,Freq_Twitter,8944,5,0.7599233247708475,0.1958839798678484,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Twitter,8944,1,0.7417017244509113,0.17631681601577542,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Twitter,8944,2,0.7429640122549134,0.17841911441441033,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Twitter,8944,3,0.7530818070461847,0.19658772606741384,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Twitter,8944,4,0.7320478973923046,0.17562949776731734,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_Twitter,8944,5,0.7717972264733107,0.18619579537504807,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Twitter,8944,1,0.6215118279520866,0.2583595622280357,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Twitter,8944,2,0.6658641914875297,0.23193723015962198,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Twitter,8944,3,0.6771049092202633,0.25707790461026364,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Twitter,8944,4,0.6301743712974145,0.24240261150558357,pass
morphoNLM&PPMI_SVD_SWOW,Freq_Twitter,8944,5,0.6805817350821286,0.26062057430141233,pass
CBOW_GoogleNews,Freq_News,8944,1,0.7236367129738221,0.18638605850651688,pass
CBOW_GoogleNews,Freq_News,8944,2,0.7135484757299566,0.18530462352489752,pass
CBOW_GoogleNews,Freq_News,8944,3,0.730594650415001,0.20253218149872787,pass
CBOW_GoogleNews,Freq_News,8944,4,0.7357293641183897,0.17954988378852244,pass
CBOW_GoogleNews,Freq_News,8944,5,0.7300950404468874,0.20053548911592428,pass
morphoNLM,Freq_News,8944,1,0.4488840392743083,0.37168588058501445,pass
morphoNLM,Freq_News,8944,2,0.5445290352521865,0.2946427876904893,pass
morphoNLM,Freq_News,8944,3,0.5130823105999098,0.3660525004289351,pass
morphoNLM,Freq_News,8944,4,0.5379162199858535,0.31394743772921235,pass
morphoNLM,Freq_News,8944,5,0.43511462637592346,0.41970167899728567,pass
CBOW_GoogleNews&morphoNLM,Freq_News,8944,1,0.7655795461385929,0.15809880139541752,pass
CBOW_GoogleNews&morphoNLM,Freq_News,8944,2,0.7784878504254831,0.14329553870483383,pass
CBOW_GoogleNews&morphoNLM,Freq_News,8944,3,0.788850073301487,0.158737216404286,pass
CBOW_GoogleNews&morphoNLM,Freq_News,8944,4,0.7949549245890121,0.1393110488368625,pass
CBOW_GoogleNews&morphoNLM,Freq_News,8944,5,0.7717323103462042,0.1695995985767653,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_News,8944,1,0.7608720181570467,0.1612736716729823,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_News,8944,2,0.7506368488934443,0.16131226724847558,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_News,8944,3,0.7789857639613798,0.16615295663627383,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_News,8944,4,0.7767558943041349,0.15167577396726759,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_News,8944,5,0.7782893581604887,0.16472780669575948,pass
morphoNLM&PPMI_SVD_SWOW,Freq_News,8944,1,0.6618942754923143,0.22802664575164255,pass
morphoNLM&PPMI_SVD_SWOW,Freq_News,8944,2,0.6820839440732218,0.2056589337625414,pass
morphoNLM&PPMI_SVD_SWOW,Freq_News,8944,3,0.7041316024247315,0.22242643692769748,pass
morphoNLM&PPMI_SVD_SWOW,Freq_News,8944,4,0.6710926182550018,0.22346516847205686,pass
morphoNLM&PPMI_SVD_SWOW,Freq_News,8944,5,0.69998414951241,0.22290744645698032,pass
CBOW_GoogleNews,Freq_CobW,8565,1,0.5023848776908394,0.18818709797047867,pass
CBOW_GoogleNews,Freq_CobW,8565,2,0.5065305308646282,0.17889538980129288,pass
CBOW_GoogleNews,Freq_CobW,8565,3,0.505898022766616,0.20241436283190517,pass
CBOW_GoogleNews,Freq_CobW,8565,4,0.4833373382347549,0.17916845135926687,pass
CBOW_GoogleNews,Freq_CobW,8565,5,0.538795083355362,0.20226379440440875,pass
morphoNLM,Freq_CobW,8565,1,0.281368769560045,0.27177053048526273,pass
morphoNLM,Freq_CobW,8565,2,0.3411539972761187,0.2388486418072179,pass
morphoNLM,Freq_CobW,8565,3,0.3379027513424929,0.27123549164925675,pass
morphoNLM,Freq_CobW,8565,4,0.3339171632362561,0.2309844298254556,pass
morphoNLM,Freq_CobW,8565,5,0.3174749397615235,0.29932488461804624,pass
CBOW_GoogleNews&morphoNLM,Freq_CobW,8565,1,0.5313179013589151,0.1772452645825786,pass
CBOW_GoogleNews&morphoNLM,Freq_CobW,8565,2,0.5458529648178172,0.16463999490864234,pass
CBOW_GoogleNews&morphoNLM,Freq_CobW,8565,3,0.5495620812866919,0.1845268962941594,pass
CBOW_GoogleNews&morphoNLM,Freq_CobW,8565,4,0.5308255438588535,0.1627004754648406,pass
CBOW_GoogleNews&morphoNLM,Freq_CobW,8565,5,0.5596642516322812,0.19311151304439422,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_CobW,8565,1,0.5359944593081298,0.17547669319176237,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_CobW,8565,2,0.5391415871817156,0.16707304212515556,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_CobW,8565,3,0.5559901348525637,0.18189357275623166,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_CobW,8565,4,0.5161630104211044,0.16778515373454422,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,Freq_CobW,8565,5,0.5902664584803525,0.17969075743044496,pass
morphoNLM&PPMI_SVD_SWOW,Freq_CobW,8565,1,0.475240249553743,0.1984525994908169,pass
morphoNLM&PPMI_SVD_SWOW,Freq_CobW,8565,2,0.4902575135927233,0.18479477760577318,pass
morphoNLM&PPMI_SVD_SWOW,Freq_CobW,8565,3,0.5135393087417068,0.1992840251624936,pass
morphoNLM&PPMI_SVD_SWOW,Freq_CobW,8565,4,0.4672683754667143,0.18474085166445423,pass
