norm,description,citation,category,associated_embed,type,n_ratings
Freq_HAL,Log10 version of frequency norms based on the Hyperspace Analogue to Language (HAL) corpus.,"Lund, K. and C. Burgess (1996). ""Producing high-dimensional semantic spaces from lexical co-occurrence."" Behavior Research Methods, Instruments, & Computers 28(2): 203-208.",frequency,,numeric,79671
Freq_KF,Log10 version of frequency norms based on the Kucera and Francis corpus.,"Kučera, H. and W. N. Francis (1967). Computational analysis of present-day American English, Brown University Press.",frequency,,numeric,35230
Freq_SUBTLEXUS,Log10 version of frequency norms based on the SUBTLEXus corpus.,"Brysbaert, M. and B. New (2009). ""Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English."" Behavior Research Methods41(4): 977-990.",frequency,,numeric,57214
Freq_SUBTLEXUK,Log10 version of the frequency norms based on SUBTLEXuk corpus.,"Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",frequency,,numeric,61843
Freq_Blog,Log10 version of the frequency norms based on sources from blogs.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,,numeric,70646
Freq_Twitter,Log10 version of the frequency norms based on sources from Twitter.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,,numeric,70646
Freq_News,Log10 version of the frequency norms based on sources from newspapers.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,,numeric,70646
Freq_CobW,Log10 of word frequencies in written English based on COBUILD corpus.,"Baayen, R. H., et al. (1996). ""The CELEX lexical database (cd-rom).""",frequency,,numeric,66468
Freq_CobS,Log10 of word frequencies in spoken English based on COBUILD corpus.,"Baayen, R. H., et al. (1996). ""The CELEX lexical database (cd-rom).""",frequency,,numeric,66468
CD_SUBTLEXUS,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the SUBTLEXus corpus containing a particular word.","Brysbaert, M. and B. New (2009). ""Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English."" Behavior Research Methods41(4): 977-990.",semantic_diversity,,numeric,57214
CD_SUBTLEXUK,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the SUBTLEXuk corpus containing a particular word.","Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",semantic_diversity,,numeric,61843
CD_Blog,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from Blog containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,,numeric,70646
CD_Twitter,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from Twitter containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,,numeric,70646
CD_News,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from newspapers containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,,numeric,70646
Fam_Glasgow,A word’s subjective familarity on a 1 (unfamiliar) to 7 (familiar) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",familiarity,,numeric,4668
Fam_Brys,Percentage of participants who know the word well enough to give answer for the concreteness rating.,"Brysbaert, M., et al. (2014). ""Concreteness ratings for 40 thousand generally known English word lemmas."" Behavior Research Methods46(3): 904-911.",familiarity,,numeric,37056
Prevalence_Brys,"The proportion of people who know the word, in which participants were asked to indicate whether or not they knew the stimulus in a list of words and nonwords, in an online crowdsourcing study. Percentages were translated to z values on the the basis of cumulative normal distribution. A word known by 2.5% of the participants corresponds to a word prelevance of -1.96; a word known by 97.5% of the participants corresponds to a prevalence of +1.96.","Brysbaert, M., et al. (2019). ""Word prevalence norms for 62,000 English lemmas."" Behavior Research Methods51(2): 467-479.",familiarity,,numeric,61853
AoA_Kuper,"The age at which people acquired the word, in which  participants were asked to enter the age (in years) at which they thought they had learned the word.","Kuperman, V., et al. (2012). ""Age-of-acquisition ratings for 30,000 English words."" Behavior Research Methods44(4): 978-990.",age_of_acquisition,,numeric,30873
AoA_LWV,"The age at which people acquired the word, in which a three-choice test was administered to participants in grades 4 to 16 (college) (Living Word Vocabulary database).","Brysbaert, M. (2017). ""Age of acquisition ratings score better on criterion validity than frequency trajectory or ratings “corrected” for frequency."" Quarterly Journal of Experimental Psychology70(7): 1129-1139. Dale, E. and J. O’Rourke (1981). The Living Word Vocabulary. Chicago: World Book-Childcraft International, Inc.",age_of_acquisition,,numeric,19953
AoA_Glasgow,"Rated age of acquisition, which indicates the age at which people acquired the word on 1 (early) to 7 (late) scale.","Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",age_of_acquisition,,numeric,4668
Freqtraj_TASA,How experience with a word is distributed over time based on the TASA corpus. It was computed by first taking logarithms of the frequencies and then transforming them to z-values for low (first three grades) and high grades (last three grades) respectively.,"Brysbaert, M. (2017). ""Age of acquisition ratings score better on criterion validity than frequency trajectory or ratings “corrected” for frequency."" Quarterly Journal of Experimental Psychology70(7): 1129-1139.",frequency,,numeric,17553
DPoS_Brys,The dominant grammatical category to which a word is assigned in accordance with its syntactic functions.,"Brysbaert, M., et al. (2012). ""Adding part-of-speech information to the SUBTLEX-US word frequencies."" Behavior Research Methods44(4): 991-997.",part_of_speech,,multiclass,57156
DPoS_VanH,The dominant grammatical category to which a word is assigned in accordance with its syntactic functions.,"Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",part_of_speech,,multiclass,61843
Conc_Brys,The degree to which the concept can be experienced directly through the senses from a 1 (abstract) to 5 (concrete) scale.,"Brysbaert, M., et al. (2014). ""Concreteness ratings for 40 thousand generally known English word lemmas."" Behavior Research Methods46(3): 904-911.",concreteness,,numeric,37056
Conc_Glasgow,The degree to which the concept can be experienced directly through the senses from a 1 (abstract) to 7 (concrete) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",concreteness,,numeric,4668
Imag_Glasgow,The degree of effort involved in generating a mental image of the concept on a 1 (unimageable) to 7 (imageable) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",imageability,,numeric,4668
Nsenses_WordNet,Number of senses based on the WordNet database.,"Miller, G. A. (1995). ""WordNet: a lexical database for English."" Communications of the ACM38(11): 39-41.",semantic_diversity,,numeric,40480
Nsenses_Wordsmyth,Number of senses based on the Wordsmyth dictionary.,"Rice, C. A., et al. (2019). ""A comparison of homonym meaning frequency estimates derived from movie and television subtitles, free association, and explicit ratings."" Behavior Research Methods51(3): 1399-1425.",semantic_diversity,,numeric,534
Nmeanings_Wordsmyth,Number of meanings based on the Wordsmyth dictionary.,"Rice, C. A., et al. (2019). ""A comparison of homonym meaning frequency estimates derived from movie and television subtitles, free association, and explicit ratings."" Behavior Research Methods51(3): 1399-1425.",semantic_diversity,,numeric,534
Nmeanings_Websters,Number of meanings based on the Websters dictionary.,"Gao, C., Shinkareva, S. V., & Desai, R. H. ""SCOPE: The South Carolina Psycholinguistic Metabase"" (forthcoming)",semantic_diversity,,numeric,40945
NFeatures,Number of features listed for the word. This measure was obtained by asking participants to provide lists of features for each concept presented.,"Buchanan, E. M., et al. (2019). ""English semantic feature production norms: An extended database of 4436 concepts."" Behavior Research Methods51(4): 1849-1863.",number_of_features,,numeric,4381
Visual_Lanc,"To what extent one experiences the referent by seeing, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,norms_sensorimotor,numeric,36808
Auditory_Lanc,"To what extent one experiences the referent by hearing, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,norms_sensorimotor,numeric,36808
Haptic_Lanc,"To what extent one experiences the referent by feeling through touch, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,norms_sensorimotor,numeric,36808
Olfactory_Lanc,"To what extent one experiences the referent by smelling, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,norms_sensorimotor,numeric,36808
Gustatory_Lanc,"To what extent one experiences the referent by tasting, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,norms_sensorimotor,numeric,36808
Interoceptive_Lanc,"To what extent one experiences the referent by sensations inside one’s body, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
