norm,description,citation,category,source,associated_embed,type
frequency_lund,Log10 version of frequency norms based on the Hyperspace Analogue to Language (HAL) corpus.,"Lund, K. and C. Burgess (1996). ""Producing high-dimensional semantic spaces from lexical co-occurrence."" Behavior Research Methods, Instruments, & Computers 28(2): 203-208.",frequency,SCOPE,,numeric
frequency_kucera,Log10 version of frequency norms based on the Kucera and Francis corpus.,"Kučera, H. and W. N. Francis (1967). Computational analysis of present-day American English, Brown University Press.",frequency,SCOPE,,numeric
frequency_subtlexus,Log10 version of frequency norms based on the SUBTLEXus corpus.,"Brysbaert, M. and B. New (2009). ""Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English."" Behavior Research Methods41(4): 977-990.",frequency,SCOPE,,numeric
frequency_subtlexuk,Log10 version of the frequency norms based on SUBTLEXuk corpus.,"Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",frequency,SCOPE,,numeric
frequency_blog_gimenes,Log10 version of the frequency norms based on sources from blogs.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,SCOPE,,numeric
frequency_twitter_gimenes,Log10 version of the frequency norms based on sources from Twitter.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,SCOPE,,numeric
frequency_news_gimenes,Log10 version of the frequency norms based on sources from newspapers.,"Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",frequency,SCOPE,,numeric
frequency_written_cobuild,Log10 of word frequencies in written English based on COBUILD corpus.,"Baayen, R. H., et al. (1996). ""The CELEX lexical database (cd-rom).""",frequency,SCOPE,,numeric
frequency_spoken_cobuild,Log10 of word frequencies in spoken English based on COBUILD corpus.,"Baayen, R. H., et al. (1996). ""The CELEX lexical database (cd-rom).""",frequency,SCOPE,,numeric
context_diversity_subtlexus,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the SUBTLEXus corpus containing a particular word.","Brysbaert, M. and B. New (2009). ""Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English."" Behavior Research Methods41(4): 977-990.",semantic_diversity,SCOPE,,numeric
context_diversity_subtlexuk,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the SUBTLEXuk corpus containing a particular word.","Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",semantic_diversity,SCOPE,,numeric
