embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
CBOW_GoogleNews,text,frequency_lund,28012,7003,300,0.5221179777365711,0.008398039693654363,pass
CBOW_GoogleNews,text,frequency_kucera,19285,4822,300,0.500424811506992,0.009709833286567328,pass
CBOW_GoogleNews,text,frequency_subtlexus,28636,7159,300,0.5372647134505252,0.00981427830818414,pass
CBOW_GoogleNews,text,frequency_subtlexuk,29316,7330,300,0.5456434534360561,0.008415898212957917,pass
CBOW_GoogleNews,text,frequency_blog_gimenes,31876,7969,300,0.5237002540345855,0.008447536084881501,pass
CBOW_GoogleNews,text,frequency_twitter_gimenes,31876,7969,300,0.5686206339872356,0.00961587832558521,pass
CBOW_GoogleNews,text,frequency_news_gimenes,31876,7969,300,0.5805237618515774,0.005493194316613899,pass
CBOW_GoogleNews,text,frequency_written_cobuild,26504,6626,300,0.4386418568572127,0.006713404055334518,pass
CBOW_GoogleNews,text,frequency_spoken_cobuild,26504,6626,300,0.3996487404985335,0.011356360967832073,pass
CBOW_GoogleNews,text,context_diversity_subtlexus,28636,7159,300,0.5499119456979369,0.009136961351772662,pass
CBOW_GoogleNews,text,context_diversity_subtlexuk,29316,7330,300,0.5570919948012456,0.0069161823923511515,pass
CBOW_GoogleNews,text,context_diversity_blog_gimenes,31876,7969,300,0.5282483110350393,0.008368539037588357,pass
CBOW_GoogleNews,text,context_diversity_twitter_gimenes,31876,7969,300,0.5693032943947995,0.009629040993521874,pass
CBOW_GoogleNews,text,context_diversity_news_gimenes,31876,7969,300,0.5827534900300994,0.00555441440958187,pass
CBOW_GoogleNews,text,familiarity_glasgow,3672,919,300,0.496910814810189,0.014220827666632217,pass
CBOW_GoogleNews,text,familiarity_brysbaert,27078,6770,300,0.20421287808572902,0.002153130908804234,pass
CBOW_GoogleNews,text,prevalence_brysbaert,29045,7262,300,0.3712666991386201,0.008529197731526593,pass
CBOW_GoogleNews,text,aoa_kuperman,20218,5055,300,0.5262395071159192,0.007838320320135036,pass
CBOW_GoogleNews,text,aoa_brysbaert,14160,3541,300,0.5805724426951256,0.013884245010131305,pass
CBOW_GoogleNews,text,aoa_glasgow,3672,919,300,0.6197616225036005,0.005852714819233963,pass
CBOW_GoogleNews,text,frequency_trajectory_brysbaert,12315,3079,300,0.6774209817320729,0.008796349145032358,pass
CBOW_GoogleNews,text,pos_brysbaert,28580,7145,300,0.6762223063678885,0.00901965339378419,pass
CBOW_GoogleNews,text,pos_vanheuven,29268,7317,300,0.6369845230373509,0.005033119736793671,pass
CBOW_GoogleNews,text,concreteness_brysbaert,27078,6770,300,0.7145847113919176,0.0055581190696695594,pass
CBOW_GoogleNews,text,concreteness_glasgow,3672,919,300,0.7812503230190802,0.009689359796558421,pass
CBOW_GoogleNews,text,imageability_glasgow,3672,919,300,0.7103633258384676,0.017345241329250697,pass
CBOW_GoogleNews,text,n_senses_wordnet_miller,23669,5918,300,0.3446911630502082,0.011726205262282506,pass
CBOW_GoogleNews,text,n_senses_wordsmyth_rice,424,107,300,0.2165008056551232,0.05413361122348353,pass
CBOW_GoogleNews,text,n_meanings_wordsmyth_rice,424,107,300,-0.03626251825786464,0.021945716380612004,pass
CBOW_GoogleNews,text,n_meanings_websters_gao,19527,4882,300,0.2133300696379737,0.0046453260702213305,pass
CBOW_GoogleNews,text,n_features_buchanan,3501,876,300,0.15514932171443885,0.014144115199020655,pass
CBOW_GoogleNews,text,visual_lancaster,27036,6760,300,0.40718633744527793,0.006320747072217226,pass
CBOW_GoogleNews,text,auditory_lancaster,27036,6760,300,0.4806982645501979,0.00844604884520482,pass
CBOW_GoogleNews,text,haptic_lancaster,27036,6760,300,0.49023848706858486,0.013080822478263806,pass
CBOW_GoogleNews,text,olfactory_lancaster,27036,6760,300,0.4367253482356547,0.01340825939389847,pass
CBOW_GoogleNews,text,gustatory_lancaster,27036,6760,300,0.5528091597725098,0.02071625186226381,pass
CBOW_GoogleNews,text,interoceptive_lancaster,27036,6760,300,0.5134376597465083,0.004946040356735665,pass
