norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,26452,6614,300,0.5309272734328496,0.1530048423721594,pass
frequency_kucera,18423,4606,300,-2.00962133796764,3.978752235813147,pass
frequency_subtlexus,28216,7054,300,0.494133078310107,0.2446460211479389,pass
frequency_subtlexuk,28900,7225,300,0.476196502975511,0.1381262516707786,pass
frequency_blog_gimenes,30828,7708,300,0.5666958147194234,0.1570388728846847,pass
frequency_twitter_gimenes,30828,7708,300,0.5227627565962335,0.2129531109749643,pass
frequency_news_gimenes,30828,7708,300,0.5266623385622173,0.2015713049523096,pass
frequency_written_cobuild,25444,6362,300,-2.8715873729202785,5.98904232613474,pass
frequency_spoken_cobuild,25444,6362,300,-5.526043549896001,10.503703922917095,pass
context_diversity_subtlexus,28216,7054,300,0.5511422298623504,0.1595000701534697,pass
context_diversity_subtlexuk,28900,7225,300,0.483538837523991,0.1424676591151426,pass
context_diversity_blog_gimenes,30828,7708,300,0.5706372795094745,0.1550562435594521,pass
context_diversity_twitter_gimenes,30828,7708,300,0.5227303508470784,0.2131054567778615,pass
context_diversity_news_gimenes,30828,7708,300,0.5282711038917911,0.2010943238777512,pass
familiarity_glasgow,3703,926,300,0.3132348784726898,0.1678276105077663,pass
familiarity_brysbaert,25202,6301,300,-0.1461276709323989,0.4340237109452735,pass
prevalence_brysbaert,27131,6783,300,0.0288474853349582,0.2768211449008313,pass
aoa_kuperman,19772,4943,300,0.3703577089305545,0.1721166115630546,pass
aoa_brysbaert,14089,3523,300,0.4436240595800981,0.1566299458302339,pass
aoa_glasgow,3703,926,300,0.5279495538602468,0.1301443873634194,pass
frequency_trajectory_brysbaert,12296,3074,300,0.6372051458378334,0.0611732976036172,pass
pos_brysbaert,28159,7040,300,0.3633409066553216,0.1712141484415796,pass
pos_vanheuven,28848,7212,300,0.3453804576172458,0.1549939626387176,pass
concreteness_brysbaert,25202,6301,300,0.5946506220552836,0.0709121144986996,pass
concreteness_glasgow,3703,926,300,0.660293340816703,0.1236225596856334,pass
imageability_glasgow,3703,926,300,0.6193667000701032,0.0990309412141633,pass
n_senses_wordnet_miller,22603,5651,300,0.1340976764557565,0.0633146515027733,pass
n_senses_wordsmyth_rice,424,107,300,0.1639410895153724,0.0503145381708302,pass
n_meanings_wordsmyth_rice,424,107,300,-0.0117423137320597,0.0065166532661283,pass
n_meanings_websters_gao,18752,4689,300,0.0575119305118952,0.1020026244889907,pass
n_features_buchanan,3501,876,300,0.0973121184093962,0.0598126945125673,pass
visual_lancaster,25161,6291,300,0.3044373628180657,0.0683040115036279,pass
auditory_lancaster,25161,6291,300,0.3516520224451146,0.0942052841697954,pass
haptic_lancaster,25161,6291,300,0.3912258170893863,0.0729290112613135,pass
olfactory_lancaster,25161,6291,300,0.3346404092025808,0.125680004936834,pass
gustatory_lancaster,25161,6291,300,0.4226680007815414,0.1463269607465468,pass
interoceptive_lancaster,25161,6291,300,0.4106237622979679,0.089971979671254,pass
head_lancaster,25161,6291,300,0.2109603284751122,0.0495046852007623,pass
torso_lancaster,25161,6291,300,0.2413204032385877,0.0810594967461402,pass
mouth_throat_lancaster,25161,6291,300,0.3125303096771519,0.0828049798309347,pass
hand_arm_lancaster,25161,6291,300,0.2880393769995311,0.0695048608409936,pass
foot_leg_lancaster,25161,6291,300,0.2507467209559965,0.1075049309558814,pass
