embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
LexVec_CommonCrawl,text,frequency_lund,27671,6918,300,-0.1345061697811481,0.5893674689968752,pass
LexVec_CommonCrawl,text,frequency_kucera,18605,4652,300,-1.206875414001777,1.646947475287616,pass
LexVec_CommonCrawl,text,frequency_subtlexus,28984,7246,300,-0.1060670527537092,0.5107488622905424,pass
LexVec_CommonCrawl,text,frequency_subtlexuk,29590,7398,300,-0.0680243177137146,0.4629956485351195,pass
LexVec_CommonCrawl,text,frequency_blog_gimenes,32424,8107,300,-0.2739047135502092,0.757129973136019,pass
LexVec_CommonCrawl,text,frequency_twitter_gimenes,32424,8107,300,-0.8040129878080531,1.7713279908083706,pass
LexVec_CommonCrawl,text,frequency_news_gimenes,32424,8107,300,-0.365814793842036,0.9671204391607572,pass
LexVec_CommonCrawl,text,frequency_written_cobuild,26579,6645,300,-7.1550512819460526,13.926708726481843,pass
LexVec_CommonCrawl,text,frequency_spoken_cobuild,26579,6645,300,-12.061245098133224,22.950473211762656,pass
LexVec_CommonCrawl,text,context_diversity_subtlexus,28984,7246,300,-0.0905653460379204,0.5348714090021468,pass
LexVec_CommonCrawl,text,context_diversity_subtlexuk,29590,7398,300,-0.0292551763910513,0.4923885543500337,pass
LexVec_CommonCrawl,text,context_diversity_blog_gimenes,32424,8107,300,-0.2501648077789357,0.7601207874173385,pass
LexVec_CommonCrawl,text,context_diversity_twitter_gimenes,32424,8107,300,-0.8007962795890551,1.7649314333258177,pass
LexVec_CommonCrawl,text,context_diversity_news_gimenes,32424,8107,300,-0.3514664517772258,0.9580361124371132,pass
LexVec_CommonCrawl,text,familiarity_glasgow,3702,926,300,0.2282308456992253,0.1742920519872655,pass
LexVec_CommonCrawl,text,familiarity_brysbaert,28821,7206,300,-0.0381165240467339,0.1761319954614043,pass
LexVec_CommonCrawl,text,prevalence_brysbaert,30843,7711,300,-0.054878042287901,0.4544502696087095,pass
LexVec_CommonCrawl,text,aoa_kuperman,20452,5113,300,0.2852728656901815,0.1700858141103816,pass
LexVec_CommonCrawl,text,aoa_brysbaert,14189,3548,300,0.3628002792953474,0.1427214249067713,pass
LexVec_CommonCrawl,text,aoa_glasgow,3702,926,300,0.4227892804489999,0.2153794837342054,pass
LexVec_CommonCrawl,text,frequency_trajectory_brysbaert,12293,3074,300,0.6627821012424261,0.0759768459463868,pass
LexVec_CommonCrawl,text,pos_brysbaert,28925,7232,300,0.6802036495661992,0.11234287426158,pass
LexVec_CommonCrawl,text,pos_vanheuven,29538,7385,300,0.645650872299927,0.0775105260002781,pass
LexVec_CommonCrawl,text,concreteness_brysbaert,28821,7206,300,0.5636666341883471,0.2333458216130753,pass
LexVec_CommonCrawl,text,concreteness_glasgow,3702,926,300,0.7725121522235415,0.0408543152846819,pass
LexVec_CommonCrawl,text,imageability_glasgow,3702,926,300,0.7030007918453531,0.0375055118414089,pass
LexVec_CommonCrawl,text,n_senses_wordnet_miller,22986,5747,300,0.1110910236806698,0.1823769840147069,pass
LexVec_CommonCrawl,text,n_senses_wordsmyth_rice,424,107,300,-0.03185579950299,0.1650921855813275,pass
LexVec_CommonCrawl,text,n_meanings_wordsmyth_rice,424,107,300,-0.0222271843268727,0.0345162994938073,pass
LexVec_CommonCrawl,text,n_meanings_websters_gao,20458,5115,300,-0.2904739966019182,0.6485407555074443,pass
LexVec_CommonCrawl,text,n_features_buchanan,3504,877,300,0.1244936160633987,0.0477524515263309,pass
LexVec_CommonCrawl,text,visual_lancaster,28780,7196,300,0.2853638685340292,0.1561441982383697,pass
LexVec_CommonCrawl,text,auditory_lancaster,28780,7196,300,0.3434290075248309,0.2029681788751628,pass
LexVec_CommonCrawl,text,haptic_lancaster,28780,7196,300,0.3787336598073796,0.1779512385806718,pass
LexVec_CommonCrawl,text,olfactory_lancaster,28780,7196,300,0.2080824811593633,0.4036343445422839,pass
LexVec_CommonCrawl,text,gustatory_lancaster,28780,7196,300,0.2347254770070575,0.61453303318663,pass
LexVec_CommonCrawl,text,interoceptive_lancaster,28780,7196,300,0.3935817775851417,0.2174121765635628,pass
LexVec_CommonCrawl,text,head_lancaster,28780,7196,300,0.1904907610938218,0.1457408606699568,pass
LexVec_CommonCrawl,text,torso_lancaster,28780,7196,300,0.1973689386865841,0.2539423326300812,pass
LexVec_CommonCrawl,text,mouth_throat_lancaster,28780,7196,300,0.2791457267462424,0.2473140155978393,pass
LexVec_CommonCrawl,text,hand_arm_lancaster,28780,7196,300,0.2568512559710723,0.2243112970155226,pass
LexVec_CommonCrawl,text,foot_leg_lancaster,28780,7196,300,0.1849758724326144,0.3165786373653949,pass
LexVec_CommonCrawl,text,body_object_interact_pexman,7440,1860,300,0.5192239904671364,0.1684080395422411,pass
LexVec_CommonCrawl,text,child_body_object_interact,2676,670,300,0.5150604770259671,0.0875248768619512,pass
LexVec_CommonCrawl,text,semantic_size_glasgow,3702,926,300,0.6115295623181598,0.0748391123614228,pass
LexVec_CommonCrawl,text,gender_association_glasgow,3702,926,300,0.5607503712127808,0.0542856126256742,pass
LexVec_CommonCrawl,text,feature_visual_vinson,780,196,300,0.2690128876509634,0.0266845325894267,pass
LexVec_CommonCrawl,text,feature_perceptual_vinson,780,196,300,0.160622033240963,0.1027990894820718,pass
LexVec_CommonCrawl,text,feature_functional_vinson,780,196,300,0.2016035244969037,0.0378485351795677,pass
LexVec_CommonCrawl,text,feature_motoric_vinson,780,196,300,0.1882085521465588,0.1472384808770499,pass
LexVec_CommonCrawl,text,socialness_diveica,6707,1677,300,0.6270833479087391,0.0317451600341524,pass
LexVec_CommonCrawl,text,valence_warriner,10908,2728,300,0.5529047384955856,0.0789411637406605,pass
LexVec_CommonCrawl,text,valence_glasgow,3702,926,300,0.6713952398837416,0.0737319426786286,pass
LexVec_CommonCrawl,text,valence_mohammad,14714,3679,300,0.52464728580929,0.058952244004505,pass
LexVec_CommonCrawl,text,valence_older_kyrolainen,2860,715,300,0.5921994129521132,0.0954413501040766,pass
LexVec_CommonCrawl,text,valence_younger_kyrolainen,2860,715,300,0.6105887902030418,0.0831022794744469,pass
LexVec_CommonCrawl,text,arousal_warriner,10908,2728,300,0.3493882900812337,0.0421577907578462,pass
LexVec_CommonCrawl,text,arousal_glasgow,3702,926,300,0.5020847806610146,0.1043524661952934,pass
LexVec_CommonCrawl,text,arousal_mohammad,14714,3679,300,0.4325702086728767,0.0352435140525119,pass
LexVec_CommonCrawl,text,dominance_warriner,10908,2728,300,0.4089240880910611,0.0698959690017153,pass
LexVec_CommonCrawl,text,dominance_glasgow,3702,926,300,0.4438722347444994,0.0792985325674563,pass
LexVec_CommonCrawl,text,dominance_mohammad,14714,3679,300,0.4602475111012284,0.0410074144919285,pass
LexVec_CommonCrawl,text,humor_engelthaler,3972,993,300,0.3898043728256681,0.0744343985283377,pass
LexVec_CommonCrawl,text,anger_mohammad,10676,2669,300,0.3109147910471519,0.0550333789226074,pass
LexVec_CommonCrawl,text,anticipation_mohammad,10676,2669,300,0.0983042190055033,0.0589563995666354,pass
LexVec_CommonCrawl,text,disgust_mohammad,10676,2669,300,0.2842729265964716,0.1039702576068457,pass
LexVec_CommonCrawl,text,fear_mohammad,10676,2669,300,0.3084994975695649,0.0459136892920464,pass
LexVec_CommonCrawl,text,joy_mohammad,10676,2669,300,0.2883366368395045,0.0531827809909966,pass
LexVec_CommonCrawl,text,negative_emotion_mohammad,10676,2669,300,0.3665726710703289,0.0811494032268046,pass
LexVec_CommonCrawl,text,positive_emotion_mohammad,10676,2669,300,0.2380076501867798,0.0725210122206753,pass
LexVec_CommonCrawl,text,sadness_mohammad,10676,2669,300,0.2950101624391404,0.0779355846655484,pass
LexVec_CommonCrawl,text,surprise_mohammad,10676,2669,300,0.1704421304875937,0.0273295219520763,pass
LexVec_CommonCrawl,text,trust_mohammad,10676,2669,300,0.1767923545813938,0.0527380408359958,pass
LexVec_CommonCrawl,text,semantic_diversity_hoffman,19204,4802,300,0.4730277180197381,0.1407683344751228,pass
LexVec_CommonCrawl,text,n_semantic_neighbors_shaoul,26593,6649,300,-34.87603633140968,66.4208091045469,pass
LexVec_CommonCrawl,text,distance_semantic_neighbors_shaoul,26593,6649,300,-1.0910457819881307,2.55261683744243,pass
LexVec_CommonCrawl,text,association_frequency_dedeyne,19803,4951,300,0.1702758543784061,0.2248318760230785,pass
LexVec_CommonCrawl,text,cue_setsize_nelson,3962,991,300,0.0230149338544698,0.0076386205639259,pass
LexVec_CommonCrawl,text,cue_connectedness_nelson,3962,991,300,0.0806372115431471,0.0358530171210073,pass
LexVec_CommonCrawl,text,cue_probability_nelson,3962,991,300,-0.2184106681445138,0.5206574600195387,pass
LexVec_CommonCrawl,text,cue_resonance_strength_nelson,3962,991,300,-0.3774435892572646,0.8124804096008728,pass
LexVec_CommonCrawl,text,visual_lexical_rt_balota,22985,5747,300,0.0535611352505783,0.1970216459931781,pass
LexVec_CommonCrawl,text,visual_lexical_rt_mandera,30843,7711,300,0.0123113251928295,0.3072770276989466,pass
LexVec_CommonCrawl,text,visual_lexical_rt_keuleers,14136,3534,300,-0.0464108408034941,0.2751396963340363,pass
LexVec_CommonCrawl,text,visual_lexical_accuracy_balota,23014,5754,300,-0.0892259597434615,0.3279540284557092,pass
LexVec_CommonCrawl,text,visual_lexical_accuracy_mandera,30843,7711,300,0.0752410951278073,0.2562849610847135,pass
LexVec_CommonCrawl,text,visual_lexical_accuracy_keuleers,14136,3534,300,0.1798448992789735,0.1575250420524792,pass
LexVec_CommonCrawl,text,auditory_lexical_rt_tucker,17043,4261,300,0.0266969546441654,0.0185782570229894,pass
LexVec_CommonCrawl,text,auditory_lexical_rt_goh,7943,1986,300,0.0755924260052129,0.1167458826322302,pass
LexVec_CommonCrawl,text,auditory_lexical_accuracy_tucker,17132,4283,300,5.231068502806746e-05,0.0595319989025023,pass
LexVec_CommonCrawl,text,auditory_lexical_accuracy_goh,7944,1987,300,0.1265013954219306,0.0826745265262235,pass
LexVec_CommonCrawl,text,naming_rt_balota,22986,5747,300,0.1331263657082213,0.1500319319009934,pass
LexVec_CommonCrawl,text,naming_accuracy_balota,22986,5747,300,-0.0607026552024453,0.2064633029309664,pass
LexVec_CommonCrawl,text,concreteness_rt_pexman,7980,1995,300,0.181235435253001,0.0569984909676384,pass
LexVec_CommonCrawl,text,concreteness_accuracy_pexman,7980,1996,300,0.121338388031172,0.014992436902323,pass
LexVec_CommonCrawl,text,recognition_memory_accuracy_cortese,3794,949,300,0.2865140430487728,0.0802881268680724,pass
LexVec_CommonCrawl,text,vision_binder,425,107,300,0.6565390002816439,0.0858716910430875,pass
LexVec_CommonCrawl,text,bright_binder,425,107,300,0.3793069416240595,0.0386335852867434,pass
LexVec_CommonCrawl,text,dark_binder,425,107,300,0.175855637560212,0.053130995204045,pass
LexVec_CommonCrawl,text,color_binder,425,107,300,0.6600670054022855,0.0442253843384371,pass
LexVec_CommonCrawl,text,pattern_binder,425,107,300,0.6229381947001155,0.0939531147616809,pass
LexVec_CommonCrawl,text,large_binder,425,107,300,0.5830862770851403,0.0884577953238997,pass
LexVec_CommonCrawl,text,small_binder,425,107,300,0.5171410173879228,0.1735963447669877,pass
LexVec_CommonCrawl,text,motion_binder,425,107,300,0.5866883966096978,0.0846492225560855,pass
LexVec_CommonCrawl,text,biomotion_binder,425,107,300,0.6141686989134019,0.115726406720915,pass
LexVec_CommonCrawl,text,fast_binder,425,107,300,0.6039532772276288,0.0452758729057477,pass
LexVec_CommonCrawl,text,slow_binder,425,107,300,0.2556197743161782,0.072718433439272,pass
LexVec_CommonCrawl,text,shape_binder,425,107,300,0.6867539292658371,0.1178750755735634,pass
LexVec_CommonCrawl,text,complexity_binder,347,87,300,0.558394728414988,0.0623474362903785,pass
LexVec_CommonCrawl,text,face_binder,425,107,300,0.5849221837628218,0.125530550305147,pass
LexVec_CommonCrawl,text,body_binder,425,107,300,0.576813971031856,0.1527782252216394,pass
LexVec_CommonCrawl,text,touch_binder,425,107,300,0.5466071870871362,0.0923054731222914,pass
LexVec_CommonCrawl,text,temperature_binder,425,107,300,0.5156450954952991,0.0366607180710904,pass
LexVec_CommonCrawl,text,texture_binder,425,107,300,0.6338118386428395,0.1333731553100691,pass
LexVec_CommonCrawl,text,weight_binder,425,107,300,0.5628643735781752,0.1671573572828922,pass
LexVec_CommonCrawl,text,pain_binder,425,107,300,0.5250001733606918,0.1912654197028456,pass
LexVec_CommonCrawl,text,audition_binder,425,107,300,0.5467385411433101,0.150486806589549,pass
LexVec_CommonCrawl,text,loud_binder,425,107,300,0.542400988788591,0.1975532264367474,pass
LexVec_CommonCrawl,text,low_binder,425,107,300,0.4424540889461769,0.1561171161129397,pass
LexVec_CommonCrawl,text,high_binder,425,107,300,0.3986943242632522,0.1995683467390056,pass
LexVec_CommonCrawl,text,sound_binder,425,107,300,0.5777797774083232,0.1438801702961154,pass
