embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
SVD_similarity_relatedness,behavior,frequency_lund,4506,1127,300,0.0457655963527417,0.0501695266945904,pass
SVD_similarity_relatedness,behavior,frequency_kucera,3776,944,300,0.045367416983731,0.0337595546527845,pass
SVD_similarity_relatedness,behavior,frequency_subtlexus,4450,1113,300,0.0863959274637065,0.0643257788114736,pass
SVD_similarity_relatedness,behavior,frequency_subtlexuk,4472,1118,300,0.0610134025714507,0.048982985976835,pass
SVD_similarity_relatedness,behavior,frequency_blog_gimenes,4652,1163,300,0.0780967857709913,0.0671668696542863,pass
SVD_similarity_relatedness,behavior,frequency_twitter_gimenes,4652,1163,300,0.0878289071750358,0.0693380507027941,pass
SVD_similarity_relatedness,behavior,frequency_news_gimenes,4652,1163,300,0.0680522780411758,0.0544980580529107,pass
SVD_similarity_relatedness,behavior,frequency_written_cobuild,4394,1099,300,0.0213281792800602,0.0219996075886159,pass
SVD_similarity_relatedness,behavior,frequency_spoken_cobuild,4394,1099,300,0.0343008106762527,0.0264086616991189,pass
SVD_similarity_relatedness,behavior,context_diversity_subtlexus,4450,1113,300,0.0833288462909229,0.0624779157651551,pass
SVD_similarity_relatedness,behavior,context_diversity_subtlexuk,4472,1118,300,0.0597105776331914,0.0479491935942972,pass
SVD_similarity_relatedness,behavior,context_diversity_blog_gimenes,4652,1163,300,0.0791180099115387,0.0672592158028863,pass
SVD_similarity_relatedness,behavior,context_diversity_twitter_gimenes,4652,1163,300,0.0878341234565273,0.0694325690520311,pass
SVD_similarity_relatedness,behavior,context_diversity_news_gimenes,4652,1163,300,0.0680526152939754,0.0542979476448738,pass
SVD_similarity_relatedness,behavior,familiarity_glasgow,1834,459,300,0.0424605543400403,0.0353136207405226,pass
SVD_similarity_relatedness,behavior,familiarity_brysbaert,4120,1030,300,-0.0016122625414391,0.0121579723939231,pass
SVD_similarity_relatedness,behavior,prevalence_brysbaert,4329,1083,300,0.010699612994899,0.0449603808678719,pass
SVD_similarity_relatedness,behavior,aoa_kuperman,3911,978,300,0.1239794593186962,0.0745467340380313,pass
SVD_similarity_relatedness,behavior,aoa_brysbaert,3521,881,300,0.1196134801321605,0.0642153994829441,pass
SVD_similarity_relatedness,behavior,aoa_glasgow,1834,459,300,0.061129753489506,0.0483766327525868,pass
SVD_similarity_relatedness,behavior,frequency_trajectory_brysbaert,3290,823,300,0.1446778373714738,0.0625330584766231,pass
SVD_similarity_relatedness,behavior,pos_brysbaert,4431,1108,300,0.114164094329872,0.038906640954488,pass
SVD_similarity_relatedness,behavior,pos_vanheuven,4458,1115,300,0.0717347115795597,0.0229143899232521,pass
SVD_similarity_relatedness,behavior,concreteness_brysbaert,4120,1030,300,0.2270089798603669,0.121286829769278,pass
SVD_similarity_relatedness,behavior,concreteness_glasgow,1834,459,300,0.2683440248632611,0.1051617554307809,pass
SVD_similarity_relatedness,behavior,imageability_glasgow,1834,459,300,0.2549706969493544,0.1050767472234611,pass
SVD_similarity_relatedness,behavior,n_senses_wordnet_miller,4195,1049,300,0.0426007463041716,0.0367373852323865,pass
SVD_similarity_relatedness,behavior,n_senses_wordsmyth_rice,228,58,300,0.0131617443877057,0.029022485503685,pass
SVD_similarity_relatedness,behavior,n_meanings_wordsmyth_rice,228,58,300,-0.0748336231697312,0.0940890896150506,pass
SVD_similarity_relatedness,behavior,n_meanings_websters_gao,3894,974,300,0.0140253278871867,0.0296938824266739,pass
SVD_similarity_relatedness,behavior,n_features_buchanan,2111,528,300,0.0331110043027333,0.0401112021574879,pass
SVD_similarity_relatedness,behavior,visual_lancaster,4113,1029,300,0.1453537222077567,0.0797118311133465,pass
SVD_similarity_relatedness,behavior,auditory_lancaster,4113,1029,300,0.1484430698732539,0.0574252219636259,pass
SVD_similarity_relatedness,behavior,haptic_lancaster,4113,1029,300,0.1822335126285169,0.0825789377222647,pass
SVD_similarity_relatedness,behavior,olfactory_lancaster,4113,1029,300,0.2128824002362677,0.0940872933380994,pass
SVD_similarity_relatedness,behavior,gustatory_lancaster,4113,1029,300,0.2965837369876218,0.1229791505399714,pass
SVD_similarity_relatedness,behavior,interoceptive_lancaster,4113,1029,300,0.1116762066646472,0.0526783068617526,pass
SVD_similarity_relatedness,behavior,head_lancaster,4113,1029,300,0.0646924591216988,0.0331092717557768,pass
SVD_similarity_relatedness,behavior,torso_lancaster,4113,1029,300,0.1098677878094159,0.046844001120382,pass
SVD_similarity_relatedness,behavior,mouth_throat_lancaster,4113,1029,300,0.1884277578632834,0.0670238509699905,pass
SVD_similarity_relatedness,behavior,hand_arm_lancaster,4113,1029,300,0.1647135126141507,0.0670069675374807,pass
SVD_similarity_relatedness,behavior,foot_leg_lancaster,4113,1029,300,0.183460722710285,0.0743825424953502,pass
