norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,5751,1438,6,-7.182160935275381,14.105434936320512,pass
frequency_kucera,5256,1315,6,-14.460845729630298,28.181103467389736,pass
frequency_subtlexus,5760,1440,6,-9.006145765117742,17.8700769487172,pass
frequency_subtlexuk,5804,1452,6,-5.916678114065318,11.531276303175826,pass
frequency_blog_gimenes,5862,1466,6,-6.551389132399031,12.873861982274391,pass
frequency_twitter_gimenes,5862,1466,6,-9.479343204240871,18.959558822847033,pass
frequency_news_gimenes,5862,1466,6,-5.813211300214379,11.38540619301046,pass
frequency_written_cobuild,5668,1418,6,-2.7157040953805627,4.978576178725072,pass
frequency_spoken_cobuild,5668,1418,6,-9.27736253227586,18.00368947577531,pass
context_diversity_subtlexus,5760,1440,6,-4.849665929610101,9.470333992572003,pass
context_diversity_subtlexuk,5804,1452,6,-3.1202179098963887,5.776483529871867,pass
context_diversity_blog_gimenes,5862,1466,6,-6.163301926238325,12.071813486404848,pass
context_diversity_twitter_gimenes,5862,1466,6,-9.410984230941446,18.819572686923276,pass
context_diversity_news_gimenes,5862,1466,6,-5.621303079328453,10.984696708255864,pass
familiarity_glasgow,1603,401,6,-0.0521946936883918,0.1224447752326193,pass
familiarity_brysbaert,4282,1071,6,-0.9468014555924648,1.9507049503168097,pass
prevalence_brysbaert,4502,1126,6,-3.902246668844973,7.805351291618798,pass
aoa_kuperman,3407,852,6,-1.0838695433670251,2.3584438467582127,pass
aoa_brysbaert,3184,797,6,-1.7359079928399646,3.654765184185552,pass
aoa_glasgow,1603,401,6,0.0680524358332239,0.0797215271835173,pass
frequency_trajectory_brysbaert,4745,1187,6,-1.5769485781233807,3.2291184805021755,pass
pos_brysbaert,5698,1425,6,0.0010546344246322,0.000835328170049,pass
pos_vanheuven,5761,1441,6,0.0053982829822285,0.0101316119396746,pass
concreteness_brysbaert,4282,1071,6,-0.5613553646021956,1.1585564330468674,pass
concreteness_glasgow,1603,401,6,0.0227236504885887,0.0399977539234943,pass
imageability_glasgow,1603,401,6,0.0198394591059167,0.0414310333580106,pass
n_senses_wordnet_miller,5403,1351,6,-3.2062954812713462,6.389734024574919,pass
n_senses_wordsmyth_rice,149,38,6,-0.0406813208522637,0.0449086674838772,pass
n_meanings_wordsmyth_rice,149,38,6,-0.055758936946933,0.0163368425096302,pass
n_meanings_websters_gao,3944,987,6,-4.742968639242715,9.478030483422645,pass
n_features_buchanan,1630,408,6,-0.0010259123043622,0.020222241951888,pass
visual_lancaster,4279,1070,6,0.006389410560121,0.0114214939532964,pass
auditory_lancaster,4279,1070,6,-0.010570607060357,0.0121717988729212,pass
haptic_lancaster,4279,1070,6,0.0054403676153091,0.0148207152073874,pass
olfactory_lancaster,4279,1070,6,0.000468383832444,0.0086559898992191,pass
gustatory_lancaster,4279,1070,6,-0.0007362677845387,0.0010371364111052,pass
interoceptive_lancaster,4279,1070,6,-0.003896930516777,0.0116331591169833,pass
head_lancaster,4279,1070,6,-0.0031603548985969,0.0045435357816279,pass
torso_lancaster,4279,1070,6,0.0036273894224577,0.0070072931176237,pass
mouth_throat_lancaster,4279,1070,6,-0.003606437958795,0.0026226893970191,pass
hand_arm_lancaster,4279,1070,6,0.0090472204293787,0.0101901681319901,pass
foot_leg_lancaster,4279,1070,6,0.0011180262838714,0.0058316877292132,pass
body_object_interact_pexman,1832,459,6,-0.0652531830217303,0.0902134827225373,pass
child_body_object_interact,1549,388,6,-0.0461308642017994,0.0613947016718441,pass
semantic_size_glasgow,1603,401,6,-0.0299500727018376,0.060660190431327,pass
gender_association_glasgow,1603,401,6,-0.0176632937204008,0.0191287347869288,pass
feature_visual_vinson,514,129,6,-0.0075399518946076,0.0165810031868867,pass
feature_perceptual_vinson,514,129,6,-0.0367734231862661,0.0488966728924896,pass
feature_functional_vinson,514,129,6,-0.0180708159588328,0.0195757575341669,pass
feature_motoric_vinson,514,129,6,-0.0344788692642337,0.0545267209902826,pass
socialness_diveica,1743,436,6,-0.0454336197108308,0.0227905954586028,pass
valence_warriner,2807,702,6,-0.019990394533108,0.0174058386168677,pass
valence_glasgow,1603,401,6,-0.0198667706787402,0.0163747280100769,pass
valence_mohammad,3612,903,6,-0.0295966577078467,0.0233958753904809,pass
valence_older_kyrolainen,1212,303,6,-0.0100610634985678,0.010865029559729,pass
valence_younger_kyrolainen,1212,303,6,-0.0166676654404875,0.0160991186051135,pass
arousal_warriner,2807,702,6,-0.0028422075649115,0.0073892728141316,pass
