norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,23078,5770,50,0.536067572156446,0.0346666676789462,pass
frequency_kucera,17260,4315,50,0.3992509284435075,0.0553702567043402,pass
frequency_subtlexus,24464,6116,50,0.4705677185290093,0.0377205166472294,pass
frequency_subtlexuk,24968,6243,50,0.4600033754741235,0.0466602160549632,pass
frequency_blog_gimenes,25878,6470,50,0.5095100872520313,0.0558264342092585,pass
frequency_twitter_gimenes,25878,6470,50,0.4859227656773431,0.0417388340343573,pass
frequency_news_gimenes,25878,6470,50,0.5075598429013641,0.056503222947094,pass
frequency_written_cobuild,22267,5567,50,0.3324483555965557,0.0333278942056618,pass
frequency_spoken_cobuild,22267,5567,50,0.2941335685948366,0.025039599593713,pass
context_diversity_subtlexus,24464,6116,50,0.491005967976806,0.0353838412496281,pass
context_diversity_subtlexuk,24968,6243,50,0.4818230661187027,0.0475866090784509,pass
context_diversity_blog_gimenes,25878,6470,50,0.5123421543352062,0.0571291591616152,pass
context_diversity_twitter_gimenes,25878,6470,50,0.4865022165085049,0.0419376767316839,pass
context_diversity_news_gimenes,25878,6470,50,0.5089040125253246,0.0571099738761204,pass
familiarity_glasgow,3671,918,50,0.3278772024468209,0.0316815064507844,pass
familiarity_brysbaert,20538,5135,50,0.1353520586928489,0.0234825799115352,pass
prevalence_brysbaert,22057,5515,50,0.2705881780406399,0.0502440916571604,pass
aoa_kuperman,16856,4214,50,0.3599233410632886,0.0333764545291682,pass
aoa_brysbaert,12858,3215,50,0.3856366560744418,0.0216124862545207,pass
aoa_glasgow,3671,918,50,0.4095912020975554,0.0226286760638832,pass
frequency_trajectory_brysbaert,12197,3050,50,0.5458352539758415,0.0163982790421109,pass
pos_brysbaert,24416,6105,50,0.4049685785287086,0.0315322251103987,pass
pos_vanheuven,24918,6230,50,0.3907903688283584,0.0412213355488407,pass
concreteness_brysbaert,20538,5135,50,0.4721254883362022,0.0191960582771722,pass
concreteness_glasgow,3671,918,50,0.5550167969159906,0.022146557713722,pass
imageability_glasgow,3671,918,50,0.5185251151034983,0.0241313801107761,pass
n_senses_wordnet_miller,20468,5117,50,0.2935747766478487,0.0187272206320357,pass
n_senses_wordsmyth_rice,422,106,50,0.2170210554469656,0.033448305712887,pass
n_meanings_wordsmyth_rice,422,106,50,-0.0466257035615642,0.049801762009638,pass
n_meanings_websters_gao,16240,4061,50,0.2222817757748191,0.0125109138461515,pass
n_features_buchanan,3447,862,50,0.0982937415794854,0.0120681543554975,pass
visual_lancaster,20502,5126,50,0.1972244987896556,0.015553193261265,pass
auditory_lancaster,20502,5126,50,0.2119039441957183,0.0238632517645078,pass
haptic_lancaster,20502,5126,50,0.2727443713233982,0.0103175955534521,pass
olfactory_lancaster,20502,5126,50,0.1815992247213723,0.0314615028135537,pass
gustatory_lancaster,20502,5126,50,0.1675600458152995,0.0255194667035018,pass
interoceptive_lancaster,20502,5126,50,0.2539694214121401,0.0216537890277512,pass
head_lancaster,20502,5126,50,0.1489216894232488,0.0114325886290687,pass
torso_lancaster,20502,5126,50,0.1215209762782918,0.0165747686171841,pass
mouth_throat_lancaster,20502,5126,50,0.1460394279213804,0.0309133020257663,pass
