embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
norms_sensorimotor,behavior,frequency_lund,21824,5456,11,0.039306217438512,0.0044995759732409,pass
norms_sensorimotor,behavior,frequency_kucera,14486,3622,11,0.0294028107582819,0.0075446545719673,pass
norms_sensorimotor,behavior,frequency_subtlexus,23015,5754,11,0.0680954934343549,0.0074672887276313,pass
norms_sensorimotor,behavior,frequency_subtlexuk,23433,5859,11,0.0573755238897907,0.0059505522594328,pass
norms_sensorimotor,behavior,frequency_blog_gimenes,26140,6536,11,0.0659249387395934,0.0029420780651382,pass
norms_sensorimotor,behavior,frequency_twitter_gimenes,26140,6536,11,0.0798206254608021,0.0034667887614575,pass
norms_sensorimotor,behavior,frequency_news_gimenes,26140,6536,11,0.0596655649248841,0.0051230601380631,pass
norms_sensorimotor,behavior,frequency_written_cobuild,20818,5205,11,0.0388034610943731,0.0040507539359842,pass
norms_sensorimotor,behavior,frequency_spoken_cobuild,20818,5205,11,0.0292837784653373,0.0034443491625357,pass
norms_sensorimotor,behavior,context_diversity_subtlexus,23015,5754,11,0.0724015821674671,0.0066473430209883,pass
norms_sensorimotor,behavior,context_diversity_subtlexuk,23433,5859,11,0.0573882471530152,0.0065252008798962,pass
norms_sensorimotor,behavior,context_diversity_blog_gimenes,26140,6536,11,0.0661207038060594,0.0029256182733871,pass
norms_sensorimotor,behavior,context_diversity_twitter_gimenes,26140,6536,11,0.0797098945306481,0.0034128909514848,pass
norms_sensorimotor,behavior,context_diversity_news_gimenes,26140,6536,11,0.0595385371169789,0.0052108346275114,pass
norms_sensorimotor,behavior,familiarity_glasgow,3553,889,11,0.1456969226707125,0.0215935141789531,pass
norms_sensorimotor,behavior,familiarity_brysbaert,29444,7362,11,0.0769981614946085,0.0133701226581958,pass
norms_sensorimotor,behavior,prevalence_brysbaert,29444,7362,11,0.082295072954276,0.01144176156001,pass
norms_sensorimotor,behavior,aoa_kuperman,18997,4750,11,0.173679733887453,0.0290677276553173,pass
norms_sensorimotor,behavior,aoa_brysbaert,13017,3255,11,0.1781675547672301,0.022720435851832,pass
norms_sensorimotor,behavior,aoa_glasgow,3553,889,11,0.1527231032012151,0.0325651222899625,pass
norms_sensorimotor,behavior,frequency_trajectory_brysbaert,9352,2339,11,0.0861354306069811,0.0326199922873652,pass
norms_sensorimotor,behavior,pos_brysbaert,22992,5748,11,0.0579679887940208,0.0240293549163023,pass
norms_sensorimotor,behavior,pos_vanheuven,23396,5849,11,0.0079369361769076,0.0008444908783871,pass
norms_sensorimotor,behavior,concreteness_brysbaert,29444,7362,11,0.4970775504652074,0.014241643279538,pass
norms_sensorimotor,behavior,concreteness_glasgow,3553,889,11,0.5513707262357241,0.0314401318957065,pass
norms_sensorimotor,behavior,imageability_glasgow,3553,889,11,0.5362205613704836,0.0244188080971869,pass
norms_sensorimotor,behavior,n_senses_wordnet_miller,18640,4660,11,0.0454602050321289,0.0099799239759798,pass
norms_sensorimotor,behavior,n_senses_wordsmyth_rice,419,105,11,0.0450670141819922,0.0320240554610137,pass
norms_sensorimotor,behavior,n_meanings_wordsmyth_rice,419,105,11,-0.0441010601815646,0.0476557711189801,pass
norms_sensorimotor,behavior,n_meanings_websters_gao,18844,4712,11,0.025608926227972,0.0061443038118302,pass
norms_sensorimotor,behavior,n_features_buchanan,3349,838,11,0.0589435112116743,0.0108674040743759,pass
norms_sensorimotor,behavior,visual_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,auditory_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,haptic_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,olfactory_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,gustatory_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,interoceptive_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,head_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,torso_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,mouth_throat_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,hand_arm_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,foot_leg_lancaster,29445,7362,11,,,associated_embed
norms_sensorimotor,behavior,body_object_interact_pexman,7432,1859,11,0.3765914132533521,0.0300021751281434,pass
norms_sensorimotor,behavior,child_body_object_interact,2587,647,11,0.4106337824084383,0.0200279883328241,pass
norms_sensorimotor,behavior,semantic_size_glasgow,3553,889,11,0.3387143427181294,0.0643172135299751,pass
norms_sensorimotor,behavior,gender_association_glasgow,3553,889,11,0.0668033691505259,0.0115677698224234,pass
norms_sensorimotor,behavior,feature_visual_vinson,777,195,11,0.1993867983808844,0.052234978026116,pass
norms_sensorimotor,behavior,feature_perceptual_vinson,777,195,11,0.1462565535187165,0.0161621491653748,pass
norms_sensorimotor,behavior,feature_functional_vinson,777,195,11,0.0490579519548555,0.0378145191620494,pass
norms_sensorimotor,behavior,feature_motoric_vinson,777,195,11,0.1526925085277318,0.0471236048900013,pass
norms_sensorimotor,behavior,socialness_diveica,6704,1677,11,0.356461268850536,0.0237212633184922,pass
norms_sensorimotor,behavior,valence_warriner,10651,2663,11,0.0813465064345498,0.0093671037763206,pass
norms_sensorimotor,behavior,valence_glasgow,3553,889,11,0.0412263492459795,0.013743157343691,pass
norms_sensorimotor,behavior,valence_mohammad,13587,3397,11,0.0439590078404657,0.0154166954290602,pass
norms_sensorimotor,behavior,valence_older_kyrolainen,2831,708,11,0.0693777454033127,0.0206645163494894,pass
norms_sensorimotor,behavior,valence_younger_kyrolainen,2831,708,11,0.0607390054414305,0.0181111458225236,pass
norms_sensorimotor,behavior,arousal_warriner,10651,2663,11,0.1504436844565606,0.0206848150840474,pass
norms_sensorimotor,behavior,arousal_glasgow,3553,889,11,0.2116542127132897,0.0271740579839138,pass
norms_sensorimotor,behavior,arousal_mohammad,13587,3397,11,0.2003998679342663,0.0216433245541293,pass
norms_sensorimotor,behavior,dominance_warriner,10651,2663,11,0.0591746742255621,0.0106054757637639,pass
norms_sensorimotor,behavior,dominance_glasgow,3553,889,11,0.0450409114690347,0.0204219129378343,pass
norms_sensorimotor,behavior,dominance_mohammad,13587,3397,11,0.0746850702048797,0.0203445262777049,pass
norms_sensorimotor,behavior,humor_engelthaler,3879,970,11,0.0638791904640161,0.0144045032163507,pass
norms_sensorimotor,behavior,anger_mohammad,9840,2461,11,0.066499742058004,0.0067753169616267,pass
norms_sensorimotor,behavior,anticipation_mohammad,9840,2461,11,0.0340535493840146,0.0106352949213011,pass
norms_sensorimotor,behavior,disgust_mohammad,9840,2461,11,0.0681381580949979,0.0166955379250868,pass
norms_sensorimotor,behavior,fear_mohammad,9840,2461,11,0.0553512331380484,0.0065349140702537,pass
norms_sensorimotor,behavior,joy_mohammad,9840,2461,11,0.0735353488694287,0.0150280814144416,pass
norms_sensorimotor,behavior,negative_emotion_mohammad,9840,2461,11,0.0875989512770532,0.0123843495049834,pass
norms_sensorimotor,behavior,positive_emotion_mohammad,9840,2461,11,0.0341878214705307,0.0049761719071119,pass
norms_sensorimotor,behavior,sadness_mohammad,9840,2461,11,0.0709076034529888,0.0131858097046491,pass
norms_sensorimotor,behavior,surprise_mohammad,9840,2461,11,0.0495717003212492,0.0208184967834417,pass
norms_sensorimotor,behavior,trust_mohammad,9840,2461,11,0.0263214266298077,0.0125669386869031,pass
norms_sensorimotor,behavior,semantic_diversity_hoffman,14814,3704,11,0.0652049855305037,0.0104041028737691,pass
norms_sensorimotor,behavior,n_semantic_neighbors_shaoul,20785,5197,11,0.0360614199996991,0.0033734889004211,pass
norms_sensorimotor,behavior,distance_semantic_neighbors_shaoul,20785,5197,11,0.0353554876780727,0.0050999295169256,pass
norms_sensorimotor,behavior,association_frequency_dedeyne,15848,3963,11,0.0980361902240723,0.0033984682831889,pass
norms_sensorimotor,behavior,cue_setsize_nelson,3814,954,11,0.0092603702983673,0.0119256198595269,pass
norms_sensorimotor,behavior,cue_connectedness_nelson,3814,954,11,0.032749439044136,0.0086389596050926,pass
norms_sensorimotor,behavior,cue_probability_nelson,3814,954,11,0.0486111765650856,0.0084486186802403,pass
norms_sensorimotor,behavior,cue_resonance_strength_nelson,3814,954,11,0.0073596436300299,0.0034743566434624,pass
norms_sensorimotor,behavior,visual_lexical_rt_balota,18640,4660,11,0.0785692755715735,0.0091774571507413,pass
norms_sensorimotor,behavior,visual_lexical_rt_mandera,29444,7362,11,0.1028668957341346,0.0073547640061025,pass
norms_sensorimotor,behavior,visual_lexical_rt_keuleers,10292,2574,11,0.0890791246173238,0.0111971230475834,pass
norms_sensorimotor,behavior,visual_lexical_accuracy_balota,18644,4661,11,0.0508299847021755,0.0084432299019432,pass
norms_sensorimotor,behavior,visual_lexical_accuracy_mandera,29444,7362,11,0.0510823411913494,0.0104118666760318,pass
norms_sensorimotor,behavior,visual_lexical_accuracy_keuleers,10292,2574,11,0.0757211843741698,0.0089934902772344,pass
norms_sensorimotor,behavior,auditory_lexical_rt_tucker,13676,3419,11,0.0310503276063238,0.0060356526166672,pass
norms_sensorimotor,behavior,auditory_lexical_rt_goh,7829,1958,11,0.0334759888016555,0.0130382390274577,pass
norms_sensorimotor,behavior,auditory_lexical_accuracy_tucker,13724,3432,11,0.0217374893078279,0.0061749101572482,pass
norms_sensorimotor,behavior,auditory_lexical_accuracy_goh,7831,1958,11,0.0525225449076158,0.0105383879204859,pass
norms_sensorimotor,behavior,naming_rt_balota,18640,4660,11,0.0611345904784167,0.0133486165629701,pass
norms_sensorimotor,behavior,naming_accuracy_balota,18640,4660,11,0.0281147342992303,0.0124709501354224,pass
