embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
spherical_text_Wikipedia,text,frequency_lund,24644,6162,300,0.3184146258739032,0.1782169487880733,pass
spherical_text_Wikipedia,text,frequency_kucera,17928,4482,300,-0.3619911923764709,0.6349906443861644,pass
spherical_text_Wikipedia,text,frequency_subtlexus,26322,6581,300,0.3933439702364817,0.2402975303293066,pass
spherical_text_Wikipedia,text,frequency_subtlexuk,26895,6724,300,0.3471745426078761,0.2384826446795101,pass
spherical_text_Wikipedia,text,frequency_blog_gimenes,28023,7006,300,0.3834129192999599,0.2674376125350789,pass
spherical_text_Wikipedia,text,frequency_twitter_gimenes,28023,7006,300,0.4186400583213171,0.2299147464416648,pass
spherical_text_Wikipedia,text,frequency_news_gimenes,28023,7006,300,0.3117099876052272,0.2964037493288097,pass
spherical_text_Wikipedia,text,frequency_written_cobuild,23761,5941,300,-0.5219053164031576,1.1398466600905337,pass
spherical_text_Wikipedia,text,frequency_spoken_cobuild,23761,5941,300,-1.3802219250706396,2.136304846004345,pass
spherical_text_Wikipedia,text,context_diversity_subtlexus,26322,6581,300,0.395079993605547,0.2616413082223949,pass
spherical_text_Wikipedia,text,context_diversity_subtlexuk,26895,6724,300,0.3581181808013284,0.2563667724573364,pass
spherical_text_Wikipedia,text,context_diversity_blog_gimenes,28023,7006,300,0.395027693203459,0.2661406050710271,pass
spherical_text_Wikipedia,text,context_diversity_twitter_gimenes,28023,7006,300,0.4179713299066673,0.2305904362641519,pass
spherical_text_Wikipedia,text,context_diversity_news_gimenes,28023,7006,300,0.315089673539795,0.297625542641854,pass
spherical_text_Wikipedia,text,familiarity_glasgow,3696,924,300,0.2665744178997636,0.2294576116326287,pass
spherical_text_Wikipedia,text,familiarity_brysbaert,22444,5612,300,0.0005385966668746,0.2605324249623116,pass
spherical_text_Wikipedia,text,prevalence_brysbaert,24180,6046,300,0.1648211729909625,0.1833472543931595,pass
spherical_text_Wikipedia,text,aoa_kuperman,18368,4593,300,0.3803656455991384,0.1374344184274967,pass
spherical_text_Wikipedia,text,aoa_brysbaert,13629,3408,300,0.4329104719185875,0.1319171963563873,pass
spherical_text_Wikipedia,text,aoa_glasgow,3696,924,300,0.5279414510316246,0.1344231777758369,pass
spherical_text_Wikipedia,text,frequency_trajectory_brysbaert,12263,3066,300,0.6046736404204243,0.0884296235543423,pass
spherical_text_Wikipedia,text,pos_brysbaert,26272,6568,300,0.5504507235179188,0.1183015737978551,pass
spherical_text_Wikipedia,text,pos_vanheuven,26844,6711,300,0.5201886987801277,0.1108703291235969,pass
spherical_text_Wikipedia,text,concreteness_brysbaert,22444,5612,300,0.6584428839043015,0.0514988622522328,pass
spherical_text_Wikipedia,text,concreteness_glasgow,3696,924,300,0.722372362086938,0.0879188195603942,pass
spherical_text_Wikipedia,text,imageability_glasgow,3696,924,300,0.6621199176645705,0.0741072843909984,pass
spherical_text_Wikipedia,text,n_senses_wordnet_miller,21660,5416,300,0.2099724088498233,0.1061130318681966,pass
spherical_text_Wikipedia,text,n_senses_wordsmyth_rice,424,107,300,0.0465724731718943,0.1245166692159644,pass
spherical_text_Wikipedia,text,n_meanings_wordsmyth_rice,424,107,300,-0.0120737566189151,0.0073876249671024,pass
spherical_text_Wikipedia,text,n_meanings_websters_gao,17480,4370,300,0.0646287446187121,0.114541091387008,pass
spherical_text_Wikipedia,text,n_features_buchanan,3484,871,300,0.1267324290754468,0.0412372415772189,pass
spherical_text_Wikipedia,text,visual_lancaster,22406,5602,300,0.3538650875097483,0.0414552976939256,pass
spherical_text_Wikipedia,text,auditory_lancaster,22406,5602,300,0.4269767737596306,0.0422845157409196,pass
spherical_text_Wikipedia,text,haptic_lancaster,22406,5602,300,0.4519413444445742,0.0350194122645248,pass
spherical_text_Wikipedia,text,olfactory_lancaster,22406,5602,300,0.3892037905190569,0.0502252977481349,pass
spherical_text_Wikipedia,text,gustatory_lancaster,22406,5602,300,0.5264535213686848,0.0629709177010715,pass
spherical_text_Wikipedia,text,interoceptive_lancaster,22406,5602,300,0.4858974652006417,0.0522407856133739,pass
