embed,norm,train_n,fold,r2,check
BERT_base&CBOW_GoogleNews,frequency_lund,5815,1,0.8356336762475804,pass
BERT_base&CBOW_GoogleNews,frequency_lund,5815,2,0.8155482272253707,pass
BERT_base&CBOW_GoogleNews,frequency_lund,5815,3,0.8402739106654201,pass
BERT_base&CBOW_GoogleNews,frequency_lund,5815,4,0.8389876519651984,pass
BERT_base&CBOW_GoogleNews,frequency_lund,5815,5,0.8386005632753727,pass
BERT_base&CBOW_GoogleNews,frequency_kucera,5273,1,0.7781764507828577,pass
BERT_base&CBOW_GoogleNews,frequency_kucera,5273,2,0.7495747277277442,pass
BERT_base&CBOW_GoogleNews,frequency_kucera,5273,3,0.7841872213656711,pass
BERT_base&CBOW_GoogleNews,frequency_kucera,5273,4,0.7751432856306638,pass
BERT_base&CBOW_GoogleNews,frequency_kucera,5273,5,0.7927493926175677,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexus,5852,1,0.8363108821454714,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexus,5852,2,0.8238239947240549,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexus,5852,3,0.8517983473580013,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexus,5852,4,0.8285857218936759,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexus,5852,5,0.8438196470958506,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexuk,5840,1,0.7839818449203235,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexuk,5840,2,0.7864497772249825,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexuk,5840,3,0.8283206594935151,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexuk,5840,4,0.8018323361383678,pass
BERT_base&CBOW_GoogleNews,frequency_subtlexuk,5840,5,0.8284432829469158,pass
BERT_base&CBOW_GoogleNews,frequency_blog_gimenes,5852,1,0.8592426422789795,pass
BERT_base&CBOW_GoogleNews,frequency_blog_gimenes,5852,2,0.8452482046000523,pass
BERT_base&CBOW_GoogleNews,frequency_blog_gimenes,5852,3,0.865497709948045,pass
BERT_base&CBOW_GoogleNews,frequency_blog_gimenes,5852,4,0.8483588375575545,pass
BERT_base&CBOW_GoogleNews,frequency_blog_gimenes,5852,5,0.8601697375781735,pass
BERT_base&CBOW_GoogleNews,frequency_twitter_gimenes,5852,1,0.8432227167975047,pass
BERT_base&CBOW_GoogleNews,frequency_twitter_gimenes,5852,2,0.8236008889687094,pass
BERT_base&CBOW_GoogleNews,frequency_twitter_gimenes,5852,3,0.8494284979474952,pass
BERT_base&CBOW_GoogleNews,frequency_twitter_gimenes,5852,4,0.8391827758127403,pass
BERT_base&CBOW_GoogleNews,frequency_twitter_gimenes,5852,5,0.845327393474489,pass
BERT_base&CBOW_GoogleNews,frequency_news_gimenes,5852,1,0.8673410094233771,pass
BERT_base&CBOW_GoogleNews,frequency_news_gimenes,5852,2,0.8536199158252145,pass
BERT_base&CBOW_GoogleNews,frequency_news_gimenes,5852,3,0.8695053418020346,pass
BERT_base&CBOW_GoogleNews,frequency_news_gimenes,5852,4,0.8747187138090582,pass
BERT_base&CBOW_GoogleNews,frequency_news_gimenes,5852,5,0.8626893302102596,pass
BERT_base&CBOW_GoogleNews,frequency_written_cobuild,5764,1,0.5910748160433613,pass
BERT_base&CBOW_GoogleNews,frequency_written_cobuild,5764,2,0.601983499013671,pass
BERT_base&CBOW_GoogleNews,frequency_written_cobuild,5764,3,0.6091859316867364,pass
BERT_base&CBOW_GoogleNews,frequency_written_cobuild,5764,4,0.5785501775072563,pass
BERT_base&CBOW_GoogleNews,frequency_written_cobuild,5764,5,0.6425951729295527,pass
BERT_base&CBOW_GoogleNews,frequency_spoken_cobuild,5764,1,0.6029588818472156,pass
BERT_base&CBOW_GoogleNews,frequency_spoken_cobuild,5764,2,0.6155184037615185,pass
BERT_base&CBOW_GoogleNews,frequency_spoken_cobuild,5764,3,0.6102915537512662,pass
BERT_base&CBOW_GoogleNews,frequency_spoken_cobuild,5764,4,0.605689445181471,pass
BERT_base&CBOW_GoogleNews,frequency_spoken_cobuild,5764,5,0.6485673786442676,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexus,5852,1,0.8427019196766767,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexus,5852,2,0.8235617315497716,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexus,5852,3,0.8465115814447167,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexus,5852,4,0.8331295269861714,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexus,5852,5,0.8442615720892255,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexuk,5840,1,0.7938203633389972,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexuk,5840,2,0.7931643897532361,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexuk,5840,3,0.8328959698867706,pass
BERT_base&CBOW_GoogleNews,context_diversity_subtlexuk,5840,4,0.8121310804491874,pass
