embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,frequency_lund,5815,1,0.8213871210436907,pass
BERT_base&Llama_3_8B,frequency_lund,5815,2,0.8163720416156721,pass
BERT_base&Llama_3_8B,frequency_lund,5815,3,0.8374882288395629,pass
BERT_base&Llama_3_8B,frequency_lund,5815,4,0.8433107952381984,pass
BERT_base&Llama_3_8B,frequency_lund,5815,5,0.8340425419774913,pass
BERT_base&Llama_3_8B,frequency_kucera,5273,1,0.7633354311600891,pass
BERT_base&Llama_3_8B,frequency_kucera,5273,2,0.7617828979519263,pass
BERT_base&Llama_3_8B,frequency_kucera,5273,3,0.7632510704763062,pass
BERT_base&Llama_3_8B,frequency_kucera,5273,4,0.7679207956227071,pass
BERT_base&Llama_3_8B,frequency_kucera,5273,5,0.785115936174882,pass
BERT_base&Llama_3_8B,frequency_subtlexus,5852,1,0.822929918651588,pass
BERT_base&Llama_3_8B,frequency_subtlexus,5852,2,0.81694379176473,pass
BERT_base&Llama_3_8B,frequency_subtlexus,5852,3,0.842639771433478,pass
BERT_base&Llama_3_8B,frequency_subtlexus,5852,4,0.8292407135693624,pass
BERT_base&Llama_3_8B,frequency_subtlexus,5852,5,0.8220765764929144,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,5840,1,0.7948677445541994,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,5840,2,0.7944395059050495,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,5840,3,0.8150263875658068,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,5840,4,0.7949793106307033,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,5840,5,0.8107379418814752,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,5852,1,0.8716768381484952,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,5852,2,0.8591053514088811,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,5852,3,0.8649584099915779,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,5852,4,0.860236504896774,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,5852,5,0.8628686940575353,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,5852,1,0.8284672916644247,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,5852,2,0.8270544607690249,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,5852,3,0.8449455214637762,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,5852,4,0.8317867145894204,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,5852,5,0.8476555656026774,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,5852,1,0.8492027177657537,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,5852,2,0.8417545498347196,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,5852,3,0.8365122869796787,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,5852,4,0.8505099266886353,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,5852,5,0.8476180661322249,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,5764,1,0.5796040623570731,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,5764,2,0.591274444228568,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,5764,3,0.598641016505495,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,5764,4,0.5680092914749939,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,5764,5,0.6082023500445102,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,5764,1,0.6014925824801398,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,5764,2,0.6057699620630733,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,5764,3,0.6046710754923978,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,5764,4,0.5976740668266634,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,5764,5,0.6103430242719842,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,5852,1,0.8283112208404457,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,5852,2,0.8156249656026413,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,5852,3,0.8395174726806509,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,5852,4,0.8263374982679974,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,5852,5,0.8262271790661242,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,5840,1,0.8040929588256404,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,5840,2,0.7985219551680578,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,5840,3,0.821789512345719,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,5840,4,0.8047157460253973,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,5840,5,0.821543133456955,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,5852,1,0.8742215076550918,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,5852,2,0.8624945941940233,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,5852,3,0.8694728362543742,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,5852,4,0.8633427294475771,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,5852,5,0.8689454570578365,pass
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,1,0.8288711816312415,pass
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,2,0.8278227511996138,pass
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,3,0.8457533959881365,pass
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,4,0.8325471877766292,pass
BERT_base&Llama_3_8B,context_diversity_twitter_gimenes,5852,5,0.8485728591956304,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,1,0.8518261531979647,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,2,0.8434311126306107,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,3,0.8388300342415865,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,4,0.852134963967037,pass
BERT_base&Llama_3_8B,context_diversity_news_gimenes,5852,5,0.8506160708673154,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,1,0.5838607599847532,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,2,0.5760190330293053,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,3,0.5745114884973122,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,4,0.555006424462444,pass
BERT_base&Llama_3_8B,familiarity_glasgow,2762,5,0.582669978558352,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,1,0.09980916723022959,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,2,0.10616765590662192,pass
BERT_base&Llama_3_8B,familiarity_brysbaert,5832,3,0.118371947469878,pass
