embed,norm,train_n,fold,r2,check
BERT_base&SVD_SWOW,frequency_lund,5815,1,0.8289603001218022,pass
BERT_base&SVD_SWOW,frequency_lund,5815,2,0.7951762602742526,pass
BERT_base&SVD_SWOW,frequency_lund,5815,3,0.8315469092750012,pass
BERT_base&SVD_SWOW,frequency_lund,5815,4,0.8295783970338536,pass
BERT_base&SVD_SWOW,frequency_lund,5815,5,0.8392647595793273,pass
BERT_base&SVD_SWOW,frequency_kucera,5273,1,0.7764862652047251,pass
BERT_base&SVD_SWOW,frequency_kucera,5273,2,0.7371065192287587,pass
BERT_base&SVD_SWOW,frequency_kucera,5273,3,0.7689329080974245,pass
BERT_base&SVD_SWOW,frequency_kucera,5273,4,0.7599513510163558,pass
BERT_base&SVD_SWOW,frequency_kucera,5273,5,0.7970494019472754,pass
BERT_base&SVD_SWOW,frequency_subtlexus,5852,1,0.8265011647126695,pass
BERT_base&SVD_SWOW,frequency_subtlexus,5852,2,0.8040277728824907,pass
BERT_base&SVD_SWOW,frequency_subtlexus,5852,3,0.8384988790659972,pass
BERT_base&SVD_SWOW,frequency_subtlexus,5852,4,0.8060809435792355,pass
BERT_base&SVD_SWOW,frequency_subtlexus,5852,5,0.8412813593109176,pass
BERT_base&SVD_SWOW,frequency_subtlexuk,5840,1,0.764427526404399,pass
BERT_base&SVD_SWOW,frequency_subtlexuk,5840,2,0.7546589120874875,pass
BERT_base&SVD_SWOW,frequency_subtlexuk,5840,3,0.8076893490648467,pass
BERT_base&SVD_SWOW,frequency_subtlexuk,5840,4,0.7714400790719711,pass
BERT_base&SVD_SWOW,frequency_subtlexuk,5840,5,0.8107460231003917,pass
BERT_base&SVD_SWOW,frequency_blog_gimenes,5852,1,0.8447605200769381,pass
BERT_base&SVD_SWOW,frequency_blog_gimenes,5852,2,0.8270350002511565,pass
BERT_base&SVD_SWOW,frequency_blog_gimenes,5852,3,0.8480114077622053,pass
BERT_base&SVD_SWOW,frequency_blog_gimenes,5852,4,0.834868070210345,pass
BERT_base&SVD_SWOW,frequency_blog_gimenes,5852,5,0.8572142921629062,pass
BERT_base&SVD_SWOW,frequency_twitter_gimenes,5852,1,0.8172135327744703,pass
BERT_base&SVD_SWOW,frequency_twitter_gimenes,5852,2,0.8071498399649071,pass
BERT_base&SVD_SWOW,frequency_twitter_gimenes,5852,3,0.8251967373547788,pass
BERT_base&SVD_SWOW,frequency_twitter_gimenes,5852,4,0.8164587102284709,pass
BERT_base&SVD_SWOW,frequency_twitter_gimenes,5852,5,0.8375875949733714,pass
BERT_base&SVD_SWOW,frequency_news_gimenes,5852,1,0.8371619870110052,pass
BERT_base&SVD_SWOW,frequency_news_gimenes,5852,2,0.8146045616711942,pass
BERT_base&SVD_SWOW,frequency_news_gimenes,5852,3,0.8324481528972458,pass
BERT_base&SVD_SWOW,frequency_news_gimenes,5852,4,0.8335270534937427,pass
BERT_base&SVD_SWOW,frequency_news_gimenes,5852,5,0.8404591992507748,pass
BERT_base&SVD_SWOW,frequency_written_cobuild,5764,1,0.5873866358783351,pass
BERT_base&SVD_SWOW,frequency_written_cobuild,5764,2,0.5954104482608205,pass
BERT_base&SVD_SWOW,frequency_written_cobuild,5764,3,0.599996548359132,pass
BERT_base&SVD_SWOW,frequency_written_cobuild,5764,4,0.5694221220266511,pass
BERT_base&SVD_SWOW,frequency_written_cobuild,5764,5,0.654228177870622,pass
BERT_base&SVD_SWOW,frequency_spoken_cobuild,5764,1,0.6077563893587484,pass
BERT_base&SVD_SWOW,frequency_spoken_cobuild,5764,2,0.6106936261778013,pass
BERT_base&SVD_SWOW,frequency_spoken_cobuild,5764,3,0.5992638425965818,pass
BERT_base&SVD_SWOW,frequency_spoken_cobuild,5764,4,0.6028039427951584,pass
BERT_base&SVD_SWOW,frequency_spoken_cobuild,5764,5,0.6646452599848605,pass
BERT_base&SVD_SWOW,context_diversity_subtlexus,5852,1,0.8270649270765271,pass
BERT_base&SVD_SWOW,context_diversity_subtlexus,5852,2,0.7979547365280741,pass
BERT_base&SVD_SWOW,context_diversity_subtlexus,5852,3,0.8264218872780646,pass
BERT_base&SVD_SWOW,context_diversity_subtlexus,5852,4,0.8068278806531126,pass
BERT_base&SVD_SWOW,context_diversity_subtlexus,5852,5,0.8297635292925818,pass
BERT_base&SVD_SWOW,context_diversity_subtlexuk,5840,1,0.7694283745073265,pass
BERT_base&SVD_SWOW,context_diversity_subtlexuk,5840,2,0.753661269113233,pass
BERT_base&SVD_SWOW,context_diversity_subtlexuk,5840,3,0.8048068705115912,pass
BERT_base&SVD_SWOW,context_diversity_subtlexuk,5840,4,0.7798400694867904,pass
BERT_base&SVD_SWOW,context_diversity_subtlexuk,5840,5,0.806996700511247,pass
BERT_base&SVD_SWOW,context_diversity_blog_gimenes,5852,1,0.8490175668667775,pass
BERT_base&SVD_SWOW,context_diversity_blog_gimenes,5852,2,0.8316327015105368,pass
BERT_base&SVD_SWOW,context_diversity_blog_gimenes,5852,3,0.8520802223819491,pass
BERT_base&SVD_SWOW,context_diversity_blog_gimenes,5852,4,0.8389832625596833,pass
BERT_base&SVD_SWOW,context_diversity_blog_gimenes,5852,5,0.8611838068994848,pass
BERT_base&SVD_SWOW,context_diversity_twitter_gimenes,5852,1,0.8185732333412357,pass
BERT_base&SVD_SWOW,context_diversity_twitter_gimenes,5852,2,0.8080053740972271,pass
BERT_base&SVD_SWOW,context_diversity_twitter_gimenes,5852,3,0.8261612683558772,pass
BERT_base&SVD_SWOW,context_diversity_twitter_gimenes,5852,4,0.8168971802365972,pass
BERT_base&SVD_SWOW,context_diversity_twitter_gimenes,5852,5,0.8381725188837674,pass
BERT_base&SVD_SWOW,context_diversity_news_gimenes,5852,1,0.8392267154380944,pass
BERT_base&SVD_SWOW,context_diversity_news_gimenes,5852,2,0.8159014834651935,pass
BERT_base&SVD_SWOW,context_diversity_news_gimenes,5852,3,0.8345309121194837,pass
BERT_base&SVD_SWOW,context_diversity_news_gimenes,5852,4,0.8357410790242463,pass
BERT_base&SVD_SWOW,context_diversity_news_gimenes,5852,5,0.8421348862295442,pass
BERT_base&SVD_SWOW,familiarity_glasgow,2762,1,0.6265344249417835,pass
BERT_base&SVD_SWOW,familiarity_glasgow,2762,2,0.5678697232295109,pass
BERT_base&SVD_SWOW,familiarity_glasgow,2762,3,0.5863083600567986,pass
BERT_base&SVD_SWOW,familiarity_glasgow,2762,4,0.5305113986325767,pass
BERT_base&SVD_SWOW,familiarity_glasgow,2762,5,0.6137720850745838,pass
BERT_base&SVD_SWOW,familiarity_brysbaert,5832,1,0.09830222375507103,pass
BERT_base&SVD_SWOW,familiarity_brysbaert,5832,2,0.09542657459468629,pass
BERT_base&SVD_SWOW,familiarity_brysbaert,5832,3,0.1151518705398864,pass
BERT_base&SVD_SWOW,familiarity_brysbaert,5832,4,0.0950302566409501,pass
BERT_base&SVD_SWOW,familiarity_brysbaert,5832,5,0.08928797590700976,pass
BERT_base&SVD_SWOW,prevalence_brysbaert,5845,1,0.23998943315873622,pass
BERT_base&SVD_SWOW,prevalence_brysbaert,5845,2,0.25505006553478393,pass
BERT_base&SVD_SWOW,prevalence_brysbaert,5845,3,0.24327454579038676,pass
BERT_base&SVD_SWOW,prevalence_brysbaert,5845,4,0.2788869335742544,pass
BERT_base&SVD_SWOW,prevalence_brysbaert,5845,5,0.2421433062798719,pass
BERT_base&SVD_SWOW,aoa_kuperman,5742,1,0.694213003769189,pass
BERT_base&SVD_SWOW,aoa_kuperman,5742,2,0.659349197879318,pass
BERT_base&SVD_SWOW,aoa_kuperman,5742,3,0.7035149792923142,pass
BERT_base&SVD_SWOW,aoa_kuperman,5742,4,0.6655801412568242,pass
BERT_base&SVD_SWOW,aoa_kuperman,5742,5,0.6707082260330579,pass
BERT_base&SVD_SWOW,aoa_brysbaert,5533,1,0.7362113508679291,pass
BERT_base&SVD_SWOW,aoa_brysbaert,5533,2,0.7139379871142156,pass
