embed,norm,train_n,fold,r2,check
BERT_base&EEG_speech,frequency_lund,753,1,0.8282041685521108,pass
BERT_base&EEG_speech,frequency_lund,753,2,0.8480005688844978,pass
BERT_base&EEG_speech,frequency_lund,753,3,0.8487240028644931,pass
BERT_base&EEG_speech,frequency_lund,753,4,0.8142155850295408,pass
BERT_base&EEG_speech,frequency_lund,753,5,0.8866512394966257,pass
BERT_base&EEG_speech,frequency_kucera,740,1,0.8106927913853605,pass
BERT_base&EEG_speech,frequency_kucera,740,2,0.8061035004170021,pass
BERT_base&EEG_speech,frequency_kucera,740,3,0.8182888402108415,pass
BERT_base&EEG_speech,frequency_kucera,740,4,0.7279270711439346,pass
BERT_base&EEG_speech,frequency_kucera,740,5,0.8515033451281917,pass
BERT_base&EEG_speech,frequency_subtlexus,757,1,0.8213691464421053,pass
BERT_base&EEG_speech,frequency_subtlexus,757,2,0.8530477756125923,pass
BERT_base&EEG_speech,frequency_subtlexus,757,3,0.822227705493139,pass
BERT_base&EEG_speech,frequency_subtlexus,757,4,0.8084328183097232,pass
BERT_base&EEG_speech,frequency_subtlexus,757,5,0.8602034679531928,pass
BERT_base&EEG_speech,frequency_subtlexuk,756,1,0.7627041359856817,pass
BERT_base&EEG_speech,frequency_subtlexuk,756,2,0.7938762819093177,pass
BERT_base&EEG_speech,frequency_subtlexuk,756,3,0.7972604529842741,pass
BERT_base&EEG_speech,frequency_subtlexuk,756,4,0.7849971365515855,pass
BERT_base&EEG_speech,frequency_subtlexuk,756,5,0.853774471527304,pass
BERT_base&EEG_speech,frequency_blog_gimenes,757,1,0.8397634770271005,pass
BERT_base&EEG_speech,frequency_blog_gimenes,757,2,0.8617677085798736,pass
BERT_base&EEG_speech,frequency_blog_gimenes,757,3,0.8442081335689289,pass
BERT_base&EEG_speech,frequency_blog_gimenes,757,4,0.8197269742882294,pass
BERT_base&EEG_speech,frequency_blog_gimenes,757,5,0.8747654894765589,pass
BERT_base&EEG_speech,frequency_twitter_gimenes,757,1,0.8114518793527776,pass
BERT_base&EEG_speech,frequency_twitter_gimenes,757,2,0.8536200414921916,pass
BERT_base&EEG_speech,frequency_twitter_gimenes,757,3,0.8326299999740444,pass
BERT_base&EEG_speech,frequency_twitter_gimenes,757,4,0.822825600045091,pass
BERT_base&EEG_speech,frequency_twitter_gimenes,757,5,0.8306169873588721,pass
BERT_base&EEG_speech,frequency_news_gimenes,757,1,0.8271715312092697,pass
BERT_base&EEG_speech,frequency_news_gimenes,757,2,0.843430337126927,pass
BERT_base&EEG_speech,frequency_news_gimenes,757,3,0.8428578199488961,pass
BERT_base&EEG_speech,frequency_news_gimenes,757,4,0.8160292860991372,pass
BERT_base&EEG_speech,frequency_news_gimenes,757,5,0.8732751449176196,pass
BERT_base&EEG_speech,frequency_written_cobuild,752,1,0.5910378944013075,pass
BERT_base&EEG_speech,frequency_written_cobuild,752,2,0.3953530198090871,pass
BERT_base&EEG_speech,frequency_written_cobuild,752,3,0.48382123218281836,pass
BERT_base&EEG_speech,frequency_written_cobuild,752,4,0.4644254419027499,pass
