embed,norm,train_n,fold,r2,check
BERT_base&Llama_3_8B,frequency_lund,753,1,0.7909167101352671,pass
BERT_base&Llama_3_8B,frequency_lund,753,2,0.8505586479513121,pass
BERT_base&Llama_3_8B,frequency_lund,753,3,0.8526039855994874,pass
BERT_base&Llama_3_8B,frequency_lund,753,4,0.8456975145653876,pass
BERT_base&Llama_3_8B,frequency_lund,753,5,0.8724319616659686,pass
BERT_base&Llama_3_8B,frequency_kucera,740,1,0.7386684134689229,pass
BERT_base&Llama_3_8B,frequency_kucera,740,2,0.7962943920016772,pass
BERT_base&Llama_3_8B,frequency_kucera,740,3,0.8198999996833585,pass
BERT_base&Llama_3_8B,frequency_kucera,740,4,0.7703466555902487,pass
BERT_base&Llama_3_8B,frequency_kucera,740,5,0.8343255047447586,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,1,0.7937377263317569,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,2,0.8512427414997175,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,3,0.8634989737328951,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,4,0.8438884856802382,pass
BERT_base&Llama_3_8B,frequency_subtlexus,757,5,0.8391227219359727,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,756,1,0.7418800081731535,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,756,2,0.8073921390477045,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,756,3,0.8457315453275175,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,756,4,0.7948829976082433,pass
BERT_base&Llama_3_8B,frequency_subtlexuk,756,5,0.8428222748696224,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,757,1,0.8065807143902319,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,757,2,0.8519427418627921,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,757,3,0.8741803476761334,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,757,4,0.8452748949878156,pass
BERT_base&Llama_3_8B,frequency_blog_gimenes,757,5,0.8847105882875134,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,757,1,0.7870658913628035,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,757,2,0.8436279295035563,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,757,3,0.8598502596807074,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,757,4,0.8541342014047593,pass
BERT_base&Llama_3_8B,frequency_twitter_gimenes,757,5,0.844910209142653,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,757,1,0.7831525928418618,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,757,2,0.8469920196001429,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,757,3,0.831083685031845,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,757,4,0.8254399540774926,pass
BERT_base&Llama_3_8B,frequency_news_gimenes,757,5,0.8567604764737785,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,752,1,0.5843631872435648,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,752,2,0.430145469771669,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,752,3,0.5146225200425507,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,752,4,0.416410203563511,pass
BERT_base&Llama_3_8B,frequency_written_cobuild,752,5,0.5614235362084654,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,752,1,0.6341422723124238,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,752,2,0.5611139350730261,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,752,3,0.5738217524489857,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,752,4,0.5644851771347761,pass
BERT_base&Llama_3_8B,frequency_spoken_cobuild,752,5,0.6083134752843915,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,757,1,0.7789802119222343,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,757,2,0.8201514648392643,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,757,3,0.8428601640288768,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,757,4,0.8166469735201747,pass
BERT_base&Llama_3_8B,context_diversity_subtlexus,757,5,0.8091531010240091,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,756,1,0.7658598301454214,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,756,2,0.7732915161682461,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,756,3,0.8493213895352631,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,756,4,0.7914075507099034,pass
BERT_base&Llama_3_8B,context_diversity_subtlexuk,756,5,0.8443446304313751,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,757,1,0.8245107456668496,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,757,2,0.8675653066877038,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,757,3,0.8794598468536462,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,757,4,0.8541572005545526,pass
BERT_base&Llama_3_8B,context_diversity_blog_gimenes,757,5,0.8920021893113907,pass
