embed,norm,train_n,fold,r2,check
PPMI_SVD_SWOW,frequency_lund,9040,1,0.47802367885555175,pass
PPMI_SVD_SWOW,frequency_lund,9040,2,0.5072184555153036,pass
PPMI_SVD_SWOW,frequency_lund,9040,3,0.5498518603936662,pass
PPMI_SVD_SWOW,frequency_lund,9040,4,0.5007196630784216,pass
PPMI_SVD_SWOW,frequency_lund,9040,5,0.5405256137803855,pass
CBOW_GoogleNews,frequency_lund,9040,1,0.6510251518748875,pass
CBOW_GoogleNews,frequency_lund,9040,2,0.663585985298552,pass
CBOW_GoogleNews,frequency_lund,9040,3,0.678476105873444,pass
CBOW_GoogleNews,frequency_lund,9040,4,0.6563499058711528,pass
CBOW_GoogleNews,frequency_lund,9040,5,0.680533235119291,pass
fastText_CommonCrawl,frequency_lund,9040,1,0.7781016312506496,pass
fastText_CommonCrawl,frequency_lund,9040,2,0.8025316839449973,pass
fastText_CommonCrawl,frequency_lund,9040,3,0.8118537314854128,pass
fastText_CommonCrawl,frequency_lund,9040,4,0.8071570154122616,pass
fastText_CommonCrawl,frequency_lund,9040,5,0.8094134812940388,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_lund,9040,1,0.79221820974429,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_lund,9040,2,0.813904083747029,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_lund,9040,3,0.8294977148008488,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_lund,9040,4,0.8236616091886126,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_lund,9040,5,0.8236474121508751,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_lund,9040,1,0.713531443209847,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_lund,9040,2,0.7198893640635199,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_lund,9040,3,0.7405620641925139,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_lund,9040,4,0.7063713044643063,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_lund,9040,5,0.7360715776034599,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_lund,9040,1,0.8123617485104919,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_lund,9040,2,0.8235842348698762,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_lund,9040,3,0.8434515705371273,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_lund,9040,4,0.8309282754329166,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_lund,9040,5,0.8356118673736755,pass
PPMI_SVD_SWOW,frequency_kucera,7794,1,0.43686975389355054,pass
PPMI_SVD_SWOW,frequency_kucera,7794,2,0.44190438226392503,pass
PPMI_SVD_SWOW,frequency_kucera,7794,3,0.517613898116385,pass
PPMI_SVD_SWOW,frequency_kucera,7794,4,0.44054546215784496,pass
PPMI_SVD_SWOW,frequency_kucera,7794,5,0.537663399374172,pass
CBOW_GoogleNews,frequency_kucera,7794,1,0.5622229092485361,pass
CBOW_GoogleNews,frequency_kucera,7794,2,0.6056948949506595,pass
CBOW_GoogleNews,frequency_kucera,7794,3,0.6166942987537614,pass
CBOW_GoogleNews,frequency_kucera,7794,4,0.60677621981992,pass
CBOW_GoogleNews,frequency_kucera,7794,5,0.6230090440884377,pass
fastText_CommonCrawl,frequency_kucera,7794,1,0.6372670702932124,pass
fastText_CommonCrawl,frequency_kucera,7794,2,0.6905342606354757,pass
fastText_CommonCrawl,frequency_kucera,7794,3,0.7150743807488251,pass
fastText_CommonCrawl,frequency_kucera,7794,4,0.6879261641889888,pass
fastText_CommonCrawl,frequency_kucera,7794,5,0.7195816372566064,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_kucera,7794,1,0.6589201822129538,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_kucera,7794,2,0.7127546519602668,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_kucera,7794,3,0.736356708249559,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_kucera,7794,4,0.7157828548814328,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_kucera,7794,5,0.737516907169081,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_kucera,7794,1,0.6321872548373495,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_kucera,7794,2,0.647963712696494,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_kucera,7794,3,0.6775893068729981,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_kucera,7794,4,0.6489734628774588,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_kucera,7794,5,0.6923186511657167,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_kucera,7794,1,0.6915460202509771,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_kucera,7794,2,0.7183290712526429,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_kucera,7794,3,0.7574423180895765,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_kucera,7794,4,0.7153390322132502,pass
fastText_CommonCrawl&PPMI_SVD_SWOW,frequency_kucera,7794,5,0.7546469905153546,pass
PPMI_SVD_SWOW,frequency_subtlexus,9152,1,0.49961674392081046,pass
PPMI_SVD_SWOW,frequency_subtlexus,9152,2,0.4786808063140455,pass
PPMI_SVD_SWOW,frequency_subtlexus,9152,3,0.5337584364743468,pass
PPMI_SVD_SWOW,frequency_subtlexus,9152,4,0.4382719620739767,pass
PPMI_SVD_SWOW,frequency_subtlexus,9152,5,0.5283575004605616,pass
CBOW_GoogleNews,frequency_subtlexus,9152,1,0.658442846163497,pass
CBOW_GoogleNews,frequency_subtlexus,9152,2,0.6619912600675952,pass
CBOW_GoogleNews,frequency_subtlexus,9152,3,0.6800377684017884,pass
CBOW_GoogleNews,frequency_subtlexus,9152,4,0.6510477473167002,pass
CBOW_GoogleNews,frequency_subtlexus,9152,5,0.6895015074094277,pass
fastText_CommonCrawl,frequency_subtlexus,9152,1,0.7847028214829853,pass
fastText_CommonCrawl,frequency_subtlexus,9152,2,0.7909158627075414,pass
fastText_CommonCrawl,frequency_subtlexus,9152,3,0.806866296563768,pass
fastText_CommonCrawl,frequency_subtlexus,9152,4,0.7868087039921003,pass
fastText_CommonCrawl,frequency_subtlexus,9152,5,0.8076341369584534,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_subtlexus,9152,1,0.8047030094350295,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_subtlexus,9152,2,0.8061341988215527,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_subtlexus,9152,3,0.8233852867260265,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_subtlexus,9152,4,0.811274824989809,pass
CBOW_GoogleNews&fastText_CommonCrawl,frequency_subtlexus,9152,5,0.826651555433185,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_subtlexus,9152,1,0.724185657284046,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_subtlexus,9152,2,0.71721748096777,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,frequency_subtlexus,9152,3,0.7481900760905615,pass
