embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
fMRI_text_cognival,,familiarity_glasgow,303,76,1000,-0.0207533964602157,0.032926124749694904,pass
fMRI_text_cognival,,aoa_glasgow,303,76,1000,-0.01905077411956031,0.04719964640604506,pass
fMRI_text_cognival,,concreteness_glasgow,303,76,1000,-0.016066216456490645,0.016143427660715946,pass
fMRI_text_cognival,,imageability_glasgow,303,76,1000,-0.020583738345801916,0.037134419462864214,pass
fMRI_text_cognival,,semantic_size_glasgow,303,76,1000,-0.038038032223284654,0.0487756617912353,pass
fMRI_text_cognival,,gender_association_glasgow,303,76,1000,-0.02369325149841328,0.03957768829629598,pass
fMRI_text_cognival,,valence_glasgow,303,76,1000,-0.0455416463858201,0.041436896461158314,pass
fMRI_text_cognival,,arousal_glasgow,303,76,1000,-0.0449662882626735,0.04651646218295445,pass
fMRI_text_cognival,,dominance_glasgow,303,76,1000,-0.03057836973262158,0.035726118702906165,pass
fMRI_text_denoise_128d,,familiarity_glasgow,303,76,128,-0.030156911872369775,0.0344485147419608,pass
fMRI_text_denoise_128d,,aoa_glasgow,303,76,128,-0.020800404107237734,0.023296002502884838,pass
fMRI_text_denoise_128d,,concreteness_glasgow,303,76,128,0.01698694293386489,0.03373413099657496,pass
fMRI_text_denoise_128d,,imageability_glasgow,303,76,128,0.025236080995865183,0.047290306013229755,pass
fMRI_text_denoise_128d,,semantic_size_glasgow,303,76,128,-0.009469047743796111,0.03147387504285468,pass
fMRI_text_denoise_128d,,gender_association_glasgow,303,76,128,-0.02605957398058849,0.03367240078784912,pass
fMRI_text_denoise_128d,,valence_glasgow,303,76,128,-0.05403645212434123,0.05354474390697681,pass
fMRI_text_denoise_128d,,arousal_glasgow,303,76,128,-0.04468591586573245,0.043067005915820224,pass
fMRI_text_denoise_128d,,dominance_glasgow,303,76,128,-0.03533079120578244,0.03328557355878947,pass
fMRI_text_denoise_256d,,familiarity_glasgow,303,76,256,-0.02934089805077609,0.036303085854882185,pass
fMRI_text_denoise_256d,,aoa_glasgow,303,76,256,-0.019358699341328788,0.024388363693123537,pass
fMRI_text_denoise_256d,,concreteness_glasgow,303,76,256,-0.013855494253829526,0.017136635797376853,pass
fMRI_text_denoise_256d,,imageability_glasgow,303,76,256,-0.01567725998278626,0.03771087249512162,pass
fMRI_text_denoise_256d,,semantic_size_glasgow,303,76,256,-0.038761244112632,0.03996337087021264,pass
fMRI_text_denoise_256d,,gender_association_glasgow,303,76,256,-0.026146278699036518,0.033667869639580156,pass
fMRI_text_denoise_256d,,valence_glasgow,303,76,256,-0.05024721325129318,0.051338186858725696,pass
fMRI_text_denoise_256d,,arousal_glasgow,303,76,256,-0.044299509366163115,0.030850356514408376,pass
fMRI_text_denoise_256d,,dominance_glasgow,303,76,256,-0.030512950270585336,0.033794095683308586,pass
fMRI_text_denoise_512d,,familiarity_glasgow,303,76,512,-0.0298077500720896,0.03425774152567629,pass
fMRI_text_denoise_512d,,aoa_glasgow,303,76,512,-0.019177899261012366,0.024624991699908772,pass
fMRI_text_denoise_512d,,concreteness_glasgow,303,76,512,0.0073626482601322875,0.03405316033150835,pass
fMRI_text_denoise_512d,,imageability_glasgow,303,76,512,0.02813396524022358,0.05330755963285536,pass
fMRI_text_denoise_512d,,semantic_size_glasgow,303,76,512,-0.038750162351402294,0.04346512016499996,pass
fMRI_text_denoise_512d,,gender_association_glasgow,303,76,512,-0.026336200208625104,0.03369901854818586,pass
fMRI_text_denoise_512d,,valence_glasgow,303,76,512,-0.052029153118177705,0.0512157145441768,pass
fMRI_text_denoise_512d,,arousal_glasgow,303,76,512,-0.030602325501940884,0.02951790295755984,pass
fMRI_text_denoise_512d,,dominance_glasgow,303,76,512,-0.04058474916921786,0.03644003061901695,pass
fMRI_text_denoise_1024d,,familiarity_glasgow,303,76,1024,-0.04203071232179314,0.03681232274115318,pass
fMRI_text_denoise_1024d,,aoa_glasgow,303,76,1024,-0.019867497345426255,0.024252616953936653,pass
fMRI_text_denoise_1024d,,concreteness_glasgow,303,76,1024,-0.023564091937361996,0.06089053265171439,pass
fMRI_text_denoise_1024d,,imageability_glasgow,303,76,1024,-0.026823007562064106,0.07310360001861929,pass
fMRI_text_denoise_1024d,,semantic_size_glasgow,303,76,1024,-0.026573118854253952,0.0356768057587707,pass
fMRI_text_denoise_1024d,,gender_association_glasgow,303,76,1024,-0.05324418814280962,0.05960337416305969,pass
fMRI_text_denoise_1024d,,valence_glasgow,303,76,1024,-0.05489975891392072,0.05315190227986091,pass
fMRI_text_denoise_1024d,,arousal_glasgow,303,76,1024,-0.03049301140885352,0.029112667096650342,pass
fMRI_text_denoise_1024d,,dominance_glasgow,303,76,1024,-0.03354698928552793,0.036685968050805456,pass
